"item","rarity","enchantment","damage","damage_type","weight_kg","price_gp","shared_properties","shared_action","special","where_to_find","source_url"
"Pactbound Warhammer","Common","","1d8","Bludgeoning","2.7","0","1d10 (1~10) + Strength modifier Bludgeoning; Versatile; Melee: 1.5 m (5 ft); Dippable","Backbreaker","","Summoned via Warlock's Pact of the Blade: Warhammer","https://bg3.wiki/wiki/Warhammers"
"Warhammer","Common","","1d8","Bludgeoning","2.7","50","1d10 (1~10) + Strength modifier Bludgeoning; Versatile; Melee: 1.5 m (5 ft); Dippable","Backbreaker","","Starting equipment for Paladins","https://bg3.wiki/wiki/Warhammers"
"Ceremonial Warhammer","Uncommon","+1","1d8 + 1","Bludgeoning","2.7","65","1d10 (1~10) + Strength modifier Bludgeoning; Versatile; Melee: 1.5 m (5 ft); Dippable","Backbreaker","","Rosymorn Monastery X: 80 Y: 44: On the roof, in the Giant Eagle's nest","https://bg3.wiki/wiki/Warhammers"
"Faithbreaker","Uncommon","+1","1d8 + 1","Bludgeoning","2.7","300","1d10 (1~10) + Strength modifier Bludgeoning; Versatile; Melee: 1.5 m (5 ft); Dippable","Backbreaker","Absolute Power; A surge of Divine energy accompanies your swing. It deals an additional 1d6Force damage and possibly pushes your target back 5 m / 17 ft. ( Recharge: Short rest.)","Shattered Sanctum X: 297 Y: 40: Carried by Dror Ragzlin","https://bg3.wiki/wiki/Warhammers"
"Intransigent Warhammer","Uncommon","","1d8","Bludgeoning","2.7","100","1d10 (1~10) + Strength modifier Bludgeoning; Versatile; Melee: 1.5 m (5 ft); Dippable","Backbreaker","Impulse Blast; Knocks nearby creatures Prone after killing a target or landing a Critical Hit.","Grymforge X: -447 Y: -525: In a Watertight Chest on a duergar skiff during the first voyage to Grymforge from the Decrepit Village","https://bg3.wiki/wiki/Warhammers"
"Warhammer +1","Uncommon","+1","1d8 + 1","Bludgeoning","2.7","65","1d10 (1~10) + Strength modifier Bludgeoning; Versatile; Melee: 1.5 m (5 ft); Dippable","Backbreaker","","Sold by any trader using the magic melee table; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Warhammers"
"Charge-Bound Warhammer","Rare","+1","1d8 + 1","Bludgeoning","2.7","310","1d10 (1~10) + Strength modifier Bludgeoning; Versatile; Melee: 1.5 m (5 ft); Dippable","Backbreaker","Favoured Weapon; This weapon has a +1 bonus to damage and Attack rolls.; Galvanic Currents; This weapon deals an additional 1d6 Lightning damage.; This hammer's magical powers only function if it's bound to an Eldritch Knight or is a Warlock's Pact or Hexed weapon. These effects are in addition to the weapon's +1 enchantment. Due to both the enchantment and the favoured weapon bonus stacking, this weapon is effectively a +2 weapon when bound.","Last Light Inn X: -33 Y: 164: Sold by Dammon","https://bg3.wiki/wiki/Warhammers"
"Clown Hammer","Rare","+2","1d8 + 2","Bludgeoning","2.7","310","1d10 (1~10) + Strength modifier Bludgeoning; Versatile; Melee: 1.5 m (5 ft); Dippable","Backbreaker","Grim Irony; Whenever this weapon lands a critical hit, both target and attacker must succeed a Wisdom Saving Throw, or be affected by fits of laughter.","Circus of the Last Days X: -43 Y: -35: Carried by Dribbles on the stage in the north-eastern corner","https://bg3.wiki/wiki/Warhammers"
"Hammer of the Just","Rare","+2","1d8 + 2; 1d4","Bludgeoning; Radiant","2.7","310","1d10 (1~10) + Strength modifier Bludgeoning; Versatile; Melee: 1.5 m (5 ft); Dippable","Backbreaker","Slay the Wicked; This weapon deals an additional 1d6 Bludgeoning damage against Fiends and Undead.; Detect Thoughts; Cast as a level 2 spell ( Recharge: Long rest.)","Stormshore Tabernacle X: 796 Y: 1159: In the Offerings to Tyr chest in the basement","https://bg3.wiki/wiki/Warhammers"
"Ketheric's Warhammer","Rare","+1","1d8 + 1; 1d4","Bludgeoning; Psychic","2.7","310","1d10 (1~10) + Strength modifier Bludgeoning; Versatile; Melee: 1.5 m (5 ft); Dippable","Backbreaker","","Mind Flayer Colony X: 861 Y: -23: Carried by Ketheric Thorm while fighting in either conflict with him (see notes)","https://bg3.wiki/wiki/Warhammers"
