"item","rarity","enchantment","damage","damage_type","weight_kg","price_gp","shared_properties","shared_action","special","where_to_find","source_url"
"Ritual Staff","Common","","1d6","Bludgeoning","1.8","10","1d8 (1~8) + Strength modifier Bludgeoning; Versatile; Melee: 1.5 m (5 ft); Dippable","Topple","","Carried by by various Goblin Booyahg throughout Act One; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Quarterstaves"
"Twisted Oak Crook","Common","+1","1d6 + 1","Bludgeoning","1.8","10","1d8 (1~8) + Strength modifier Bludgeoning; Versatile; Melee: 1.5 m (5 ft); Dippable","Topple","","Carried by Dryads summoned by Conjure Woodland Being","https://bg3.wiki/wiki/Quarterstaves"
"Druid Quarterstaff","Common","","1d6","Bludgeoning","1.8","10","1d8 (1~8) + Strength modifier Bludgeoning; Versatile; Melee: 1.5 m (5 ft); Dippable","Topple","","","https://bg3.wiki/wiki/Quarterstaves"
"Quarterstaff","Common","","1d6","Bludgeoning","1.8","10","1d8 (1~8) + Strength modifier Bludgeoning; Versatile; Melee: 1.5 m (5 ft); Dippable","Topple","","Starting equipment for Druids (unique appearance); Starting equipment for Monks, Sorcerers, and Wizards; Variant Quarterstaff is a mundane, nonmagical variant of the Quarterstaves family of weapons. It is a simple melee weapon that can be wielded in one hand, or with both hands for extra damage.; Part of this staff has taken on a deep red colour.","https://bg3.wiki/wiki/Quarterstaves"
"Quarterstaff","Common","","1d6","Bludgeoning","1.8","10","1d8 (1~8) + Strength modifier Bludgeoning; Versatile; Melee: 1.5 m (5 ft); Dippable","Topple","","Starting equipment for Druids (unique appearance); Starting equipment for Monks, Sorcerers, and Wizards; Variant Quarterstaff is a mundane, nonmagical variant of the Quarterstaves family of weapons. It is a simple melee weapon that can be wielded in one hand, or with both hands for extra damage.; Part of this staff has taken on a deep red colour.","https://bg3.wiki/wiki/Quarterstaves"
"Staff","Common","","1d6","Bludgeoning","1.8","10","1d8 (1~8) + Strength modifier Bludgeoning; Versatile; Melee: 1.5 m (5 ft); Dippable","Topple","","Golbraith's Cellar: Lying on a table in the cellar.","https://bg3.wiki/wiki/Quarterstaves"
"Staff of the Moonmaiden","Common","","1d6","Bludgeoning","1.8","10","1d8 (1~8) + Strength modifier Bludgeoning; Versatile; Melee: 1.5 m (5 ft); Dippable","Topple","","Underdark X: 161 Y: -200: Lying next to a skeleton just outside the Selûnite Outpost; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Quarterstaves"
"Corellon's Grace","Uncommon","","1d6","Bludgeoning","1.8","100","1d8 (1~8) + Strength modifier Bludgeoning; Versatile; Melee: 1.5 m (5 ft); Dippable","Topple","Natural Pugilist; You gain a +1 bonus to Melee Unarmed Attack Rolls and damage.; Unhampered Resistance; While the wielder is not wearing armour, they receive a +2 bonus to Saving Throws.","The Hollow X: 192 Y: 546: Sold by Auntie Ethel in the Hollow in the Emerald Grove","https://bg3.wiki/wiki/Quarterstaves"
"Melf's First Staff","Uncommon","+1","1d6 + 1","Bludgeoning","1.8","100","1d8 (1~8) + Strength modifier Bludgeoning; Versatile; Melee: 1.5 m (5 ft); Dippable","Topple","Arcane Enchantment; You gain a +1 bonus to Spell Save DC and Spell Attack rolls.; Melf's Acid Arrow; Cast as a level 2 spell ( Recharge: Long rest.)","Ebonlake Grotto X: 111 Y: -89: Sold by Blurg; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Quarterstaves"
"Nature's Snare","Uncommon","","1d6","Bludgeoning","1.8","400","1d8 (1~8) + Strength modifier Bludgeoning; Versatile; Melee: 1.5 m (5 ft); Dippable","Topple","Fly Trap; Chance to Ensnare target if it is not a plant or a beast.","Underground Passage X: -425 Y: -200: In a trapped Heavy Chest","https://bg3.wiki/wiki/Quarterstaves"
"Quarterstaff +1","Uncommon","+1","1d6 + 1","Bludgeoning","1.8","65","1d8 (1~8) + Strength modifier Bludgeoning; Versatile; Melee: 1.5 m (5 ft); Dippable","Topple","","Sold by any trader using the magic melee table","https://bg3.wiki/wiki/Quarterstaves"
"Rain Dancer","Uncommon","","1d6","Bludgeoning","1.8","100","1d8 (1~8) + Strength modifier Bludgeoning; Versatile; Melee: 1.5 m (5 ft); Dippable","Topple","Create Water; Cast as a level 1 spell ( Recharge: Short rest.)","The Hollow X: 205 Y: 516: Sold by Arron next to the Silvanus statue","https://bg3.wiki/wiki/Quarterstaves"
