"rarity","item","proficiency","armour_class","weight_kg","price_gp","special","where_to_find","source_url"
"Common","Broken Shield","Shields","+1","2.7","15","","In areas where old battles have occurred, such as in the Gauntlet of Shar and the Shadowfell","https://bg3.wiki/wiki/Shields"
"Common","Fossilised Shell","Shields","+2","2.7","15","","The Festering Cove: Equipped by several Kuo-toa, in the Underdark; Western BeachX: 215 Y: 120: On the shore next to the ship near where members of the Guild led by Farlin fight the Stone Lord's gang led by Cairos","https://bg3.wiki/wiki/Shields"
"Common","Iron-Banded Shield","Shields","+2","2.7","15","","In the armory of the House of Grief","https://bg3.wiki/wiki/Shields"
"Common","Metal Shield","Shields","+2","2.7","15","","On the cliff-side North of the Githyanki patrol in the Mountain Pass; Goblin Camp: Sold by Grat the Trader","https://bg3.wiki/wiki/Shields"
"Common","Organic Shield","Shields","+2","2.7","15","","Sunlit WetlandsX: 95 Y: 210: Carried by a Wood Woad","https://bg3.wiki/wiki/Shields"
"Common","Rusty Studded Shield","Shields","+2","2.7","15","","Lower CityX: -36 Y: -83: At Fytz the Firecracker's shop in Baldur's Gate","https://bg3.wiki/wiki/Shields"
"Common","Scrapwood Shield","Shields","+2","2.7","4","","Carried by several characters throughout the game; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Shields"
"Common","Scrapwood Shield","Shields","+2","2.7","15","","Carried by several characters throughout the game; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Shields"
"Common","Scrapwood Shield","Shields","+2","2.7","4","","Carried by several characters throughout the game","https://bg3.wiki/wiki/Shields"
"Common","Shield (item)","Shields","+2","2.7","15","","Cloister of Sombre Embrace: In the armoury; Emerald Grove: In the tiefling children's hideout","https://bg3.wiki/wiki/Shields"
"Common","Shield (item)","Shields","+2","2.7","15","","Peartree HouseX: 566 Y: 773: In the basement sitting against a wall","https://bg3.wiki/wiki/Shields"
"Common","Shield (item)","Shields","+2","2.7","15","","Upper City: Carried by Stalker Svignee in the sewer area of the Upper City","https://bg3.wiki/wiki/Shields"
"Common","Spiked Shield","Shields","+2","2.7","4","","Emerald GroveX: -274 Y: 115: Carried by Za'krug in front of the Emerald Grove","https://bg3.wiki/wiki/Shields"
"Common","Studded Shield","Shields","+2","2.7","15","","Carried by many characters throughout the game; Emerald GroveX: 177 Y: 562: Sold by Dammon; Shattered SanctumX: 272 Y: -31: Sold by Roah Moonglow; Starting equipment for Clerics","https://bg3.wiki/wiki/Shields"
"Common","Training Shield","Shields","+1","0.5","3","","Emerald Grove: At The Hollow near Wyll; Crèche Y'llek: In the infirmary near the training area; Arfur's MansionX: 37 Y: -65: On the ground floor, past the double doors, hanging on the wall","https://bg3.wiki/wiki/Shields"
"Common","Wooden Shield","Shields","+2","2.7","15","","Starting equipment for Paladins","https://bg3.wiki/wiki/Shields"
"Common","Wooden Shield","Shields","+2","2.7","15","","Last Light InnX: -25 Y: 133: On the ground and against the walls of Talli's tent","https://bg3.wiki/wiki/Shields"
"Common","Wooden Shield","Shields","+2","2.7","15","","Grymforge: Carried by some Duergar","https://bg3.wiki/wiki/Shields"
"Uncommon","Absolute's Warboard","Shields","+2","2.7","70","Heroism; Cast as a level 1 spell ( Recharge: Long rest.); Absolute's Ward; If the wielder bears the Absolute's Brand, they gain a +1 bonus to Saving throws.","Shattered SanctumX: 298 Y: -16: Carried by True Soul Gut","https://bg3.wiki/wiki/Shields"
"Uncommon","Gloomstrand Shield","Shields","+2","2.7","70","Stealth +1","Ruined BattlefieldX: -60 Y: -114: In a locked traveller's chest on a pier across the Reithwin Tollhouse, next to the half-ruined wooden bridge. The chest can be opened with the Key (Reithwin Tollhouse).","https://bg3.wiki/wiki/Shields"
"Uncommon","Glowing Shield","Shields","+2","2.7","70","Loving Protection; Once per Short Rest, if you are below 50% Hit Points and take damage, you gain 8 temporary hit points.","Goblin CampX: -53 Y: 461: In a locked chest on a ridge behind the camp","https://bg3.wiki/wiki/Shields"
"Uncommon","Ironvine Shield","Shields","+2","2.7","45","Ironvine; While the wielder is holding a weapon empowered with Shillelagh, and when they are hit by a melee attack, the attacker takes Piercing Damage equal to the wielder's Wisdom modifier.","Reithwin TollhouseX: -127 Y: -95: In a chest","https://bg3.wiki/wiki/Shields"
"Uncommon","Safeguard Shield","Shields","+2","2.7","55","Saving Throws +1","The HollowX: 177 Y: 562: Sold by Dammon in the Emerald Grove","https://bg3.wiki/wiki/Shields"
"Uncommon","The Real Sparky Sparkswall","Shields","+2","2.7","70","Lightning Aura; Consume 3 Lightning Charges and release a blast of electricity that damages and Jolts nearby enemies. ( Recharge: Long rest.)","GrymforgeX: -695 Y: 420: In a locked and trapped chest","https://bg3.wiki/wiki/Shields"
"Uncommon","Watcher's Shield","Shields","+2","2.7","70","Advantage on Perception Checks","Reithwin TownX: -250 Y: 36: On one of a pair of skeletons along the cliffs west of the House of Healing","https://bg3.wiki/wiki/Shields"
"Uncommon","Wood Woad Shield","Shields","+2","2.7","115","Woad's Ensnaring Strike; Your attack summons thorny vines, dealing Weapon Damage and possibly Ensnaring your target. ( Recharge: Short rest.)","Decrepit SanctuaryX: 85 Y: 212: Carried by Wood Woads in the Sunlit Wetlands","https://bg3.wiki/wiki/Shields"
"Rare","Absolute's Protector","Shields","+2","2.7","300","Shield Blow; When a foe hits you with a melee attack, you can use your reaction to knock it Prone, unless they succeed a Strength saving throw. ; Fire Shield: Chill; Cast as a level 4 spell ( Recharge: Long rest.); Absolute's Aegis; If the wielder bears the Absolute's Brand, all damage received from spells is reduced by 1.","Moonrise TowersX: -150 Y: -202: Carried by Z'rell","https://bg3.wiki/wiki/Shields"
"Rare","Adamantine Shield","Shields","+2","2.7","190","Attackers cannot land critical hits on the wearer.; Shield Blow; When a foe hits you with a melee attack, you can use your reaction to knock it Prone, unless they succeed a Strength saving throw. ; Adamantine Shield; When a melee attack misses you, the attacker is sent Reeling for 2 turns.","Adamantine Forge (location)X: -558 Y: 230: Forged from a Shield Mould and Mithral Ore","https://bg3.wiki/wiki/Shields"
"Rare","Iron-Banded Shield +1","Shields","+3","2.7","300","No special properties, beyond the Armour Class enchantment.","Moonrise TowersX: -164 Y: -163: leaning against a rack next to the bugbear merchant Lann Tarv; Wyrm's Rock FortressX: 20 Y: 202: on a table outside the Audience Hall","https://bg3.wiki/wiki/Shields"
"Rare","Iron-Banded Shield +1","Shields","+3","2.7","300","No special properties, beyond the Armour Class enchantment.","Rivington GeneralX: 6 Y: -36: hanging on a post; Stormshore TabernacleX: 117 Y: -20: on the altar of Helm; Lavernica's HomeX: 794 Y: 979: on the ground next to Incontinentia Figgin, who lies in a cave behind the basement","https://bg3.wiki/wiki/Shields"
"Rare","Justiciar's Greatshield","Shields","+2","2.7","300","Advantage on Perception Ability Checks.; Darkness Cloak; Create a cloud of magical darkness and immediately attempt to Hide. ( Recharge: Short rest.); Shield Blow; When a foe hits you with a melee attack, you can use your reaction to knock it Prone, unless they succeed a Strength saving throw.","Gauntlet of SharX: -713 Y: -732: Carried by Lyrthindor","https://bg3.wiki/wiki/Shields"
"Rare","Ketheric's Shield","Shields","+2","2.7","300","Advantage on Dexterity Saving Throws; Shield Blow; When a foe hits you with a melee attack, you can use your reaction to knock it Prone, unless they succeed a Strength saving throw. ; Arcane Enchantment; You gain a +1 bonus to Spell Save DC and Spell Attack rolls.","Mind Flayer ColonyX: 861 Y: -23: Carried by Ketheric Thorm when fought a second time","https://bg3.wiki/wiki/Shields"
"Rare","Sentinel Shield","Shields","+2","2.7","580","Shield Blow; When a foe hits you with a melee attack, you can use your reaction to knock it Prone, unless they succeed a Strength saving throw. ; Heightened Awareness; Gain a +3 bonus to Initiative rolls and Advantage on Perception checks.","Moonrise TowersX: -164 Y: -167: Sold by Lann Tarv on the main floor","https://bg3.wiki/wiki/Shields"
"Rare","Shield +1","Shields","+3","2.7","300","No special properties, beyond the Armour Class enchantment.","Flymm Cargo: Carried by Redhammer; Hhune Mausoleum: In a Sarcophagus; Rivington General: On a shelf behind Exxvikyap; Rivington General: On a shelf on the second floor of Rivington General; Moonrise Towers: Sold by Quartermaster Talli after Ketheric Thorm is defeated","https://bg3.wiki/wiki/Shields"
"Rare","Shield of Scorching Reprisal","Shields","+2","2.7","190","Grants Resistance to Fire damage.; Shield Blow; When a foe hits you with a melee attack, you can use your reaction to knock it Prone, unless they succeed a Strength saving throw. ; Blazing Retaliation; Huddle behind your shield to increase your Armour Class by 1 and reap scorching retaliation upon attacks who miss you. ( Recharge: Short rest.)","Last Light InnX: -3 Y: 215: On a buried Flaming Fist's corpse directly east of the ""Open Graves"" beyond the northern bridge","https://bg3.wiki/wiki/Shields"
