"rarity","item","armour_type","proficiency","armour_class","stealth_disadvantage","weight_kg","price_gp","special","where_to_find","source_url"
"Common","Bandit's Armour","Light","Light Armour","11","No","4.5","40","","Worn by Shadowheart in the Emerald Grove","https://bg3.wiki/wiki/Armour"
"Common","Broken Padded Armour","Light","Light Armour","11","No","3.6","30","","Risen Road Toll House: On a shelf in the basement beneath the toll house","https://bg3.wiki/wiki/Armour"
"Common","Druid Leather Armour","Light","Light Armour","11","No","4.5","40","","Starting armour for Druids","https://bg3.wiki/wiki/Armour"
"Common","Druid Leather Armour","Light","Light Armour","11","No","4.5","40","","Starting armour for Druids","https://bg3.wiki/wiki/Armour"
"Common","Faded Drow Leather Armour","Light","Light Armour","12","No","5.85","130","","Waukeen's Rest X: -71 Y: 592: On the Dead Drow Raider in the courtyard","https://bg3.wiki/wiki/Armour"
"Common","Leather Armour","Light","Light Armour","11","No","4.5","40","","Starting armour for Rangers; Emerald Grove X: 205 Y: 516: Sold by Arron; Ebonlake Grotto: Sold by Derryth Bonecloak; Worn by several enemies throughout the game","https://bg3.wiki/wiki/Armour"
"Common","Leather Armour","Light","Light Armour","11","No","4.5","40","","Starting armour for Rangers; Emerald Grove X: 205 Y: 516: Sold by Arron; Ebonlake Grotto: Sold by Derryth Bonecloak; Worn by several enemies throughout the game","https://bg3.wiki/wiki/Armour"
"Common","Leather Armour","Light","Light Armour","11","No","4.5","40","","Starting armour for Rangers; Emerald Grove X: 205 Y: 516: Sold by Arron; Ebonlake Grotto: Sold by Derryth Bonecloak; Worn by several enemies throughout the game","https://bg3.wiki/wiki/Armour"
"Common","Leather Armour","Light","Light Armour","11","No","4.5","40","","Starting armour for Rangers; Emerald Grove X: 205 Y: 516: Sold by Arron; Ebonlake Grotto: Sold by Derryth Bonecloak; Worn by several enemies throughout the game","https://bg3.wiki/wiki/Armour"
"Common","Leather Armour","Light","Light Armour","11","No","4.5","40","","Starting armour for Rangers; Emerald Grove X: 205 Y: 516: Sold by Arron; Ebonlake Grotto: Sold by Derryth Bonecloak; Worn by several enemies throughout the game","https://bg3.wiki/wiki/Armour"
"Common","Padded Armour","Light","Light Armour","11","No","3.6","30","","Starting armour for Warlocks","https://bg3.wiki/wiki/Armour"
"Common","Padded Armour","Light","Light Armour","11","No","3.6","30","","Starting armour for Warlocks","https://bg3.wiki/wiki/Armour"
"Common","Selûnite Robe","Light","Light Armour","11","No","4.5","40","","Last Light Inn X: -57 Y: 164: In the shabby wardrobe in Isobel's room; Moonrise Towers X: -169 Y: -200: In a bedside cabinet in Isobel's room; Reithwin Town X: -172 Y: 102: Buried at the gravesite outside of the Sharran Temple","https://bg3.wiki/wiki/Armour"
"Common","Simple Jerkin","Light","Light Armour","11","No","4.5","40","","Starting clothing for Bards","https://bg3.wiki/wiki/Armour"
"Common","Studded Leather Armour","Light","Light Armour","12","No","5.9","100","","Shattered Sanctum: Sold by Roah Moonglow; Worn by several enemies throughout the game","https://bg3.wiki/wiki/Armour"
"Uncommon","Blazer of Benevolence","Light","Light Armour","11","No","4.5","160","Remedial Rhymes; When you inspire an ally using Bardic Inspiration, you gain 4 temporary hit points.","Campsite (Act One): Reward for rescuing Volo from the Goblin Camp during the quest Rescue Volo","https://bg3.wiki/wiki/Armour"
"Uncommon","Leather Armour +1","Light","Light Armour","12","No","4.5","130","Stealthy; Gain a +1 bonus to Stealth Checks.","Sold by traders using the levelled magic armour table if the player is between levels 4 and 6","https://bg3.wiki/wiki/Armour"
"Uncommon","Padded Armour +1","Light","Light Armour","12","No","3.6","105","Superior Padding; You take 1 less Bludgeoning damage.","Sold by traders using the levelled magic armour table if the player is between levels 2 and 4","https://bg3.wiki/wiki/Armour"
"Uncommon","Scarlet Leather Armour","Light","Light Armour","12","No","4.5","160","Stealthy; Gain a +1 bonus to Stealth Checks.","Highberry's Home X: 20 Y: -34: Worn by Dolor the assassin; Fraygo's Flophouse X: -14 Y: 75: In the Shabby Wardobe in the secret room of the attic","https://bg3.wiki/wiki/Armour"
"Uncommon","Studded Leather Armour +1","Light","Light Armour","13","No","5.85","260","Superior Padding; You take 1 less Bludgeoning damage.","Sold by traders using the levelled magic armour table if the player is between levels 6 and 8","https://bg3.wiki/wiki/Armour"
"Rare","Drow Studded Leather Armour","Light","Light Armour","12","No","5.85","1000","Stealth +1","Underdark X: 71 Y: -220: in a heavy chest at a Lolth's Cultist's cache near the entrance of the Festering Cove","https://bg3.wiki/wiki/Armour"
"Rare","Leather Armour +2","Light","Light Armour","13","No","4.5","380","Stealthy; Gain a +1 bonus to Stealth Checks.; Balance; Gain a +1 bonus to Dexterity Saving throws and Ability checks","Sold by traders using the levelled magic armour table if the player is level 7 or above","https://bg3.wiki/wiki/Armour"
"Rare","Padded Armour +2","Light","Light Armour","13","No","3.6","310","Superior Padding; You take 2 less Bludgeoning damage.","Sold by traders using the levelled magic armour table if the player is between levels 5 and 8","https://bg3.wiki/wiki/Armour"
