"feature","description","source_url"
"Abjure Enemy","Abjure Enemy is an Oath of Vengeance Paladin class action. This ability allows them to Frighten an enemy.","https://bg3.wiki/wiki/Abjure_Enemy"
"Accursed Spectre","Accursed Spectre is a The Hexblade warlock passive feature that raises a spectre when an enemy is killed.","https://bg3.wiki/wiki/Accursed_Spectre_(passive_feature)"
"Action Surge","Action Surge is a free action gained by Fighters at Level 2. This ability allows the fighter to take another action in the same turn.","https://bg3.wiki/wiki/Action_Surge"
"Aid","Aid is a level 2 abjuration spell. It allows spellcasters to heal and embolden their allies and themselves with resolve. Affected creatures have their maximum Hit Points increased for the duration of the spell.","https://bg3.wiki/wiki/Aid"
"Animate Dead","Animate Dead is a level 3 necromancy spell. It allows spellcasters to animate a corpse to create an undead servant.","https://bg3.wiki/wiki/Animate_Dead"
"Arcane Ward","Arcane Ward is a passive feature of the Abjuration School Wizard. Upon casting an Abjuration spell,[See: Bugs] gain a charge in Arcane Ward which blocks incoming damage. Each time damage is taken, it is reduced by the charge count and the charge count decreases by one.","https://bg3.wiki/wiki/Arcane_Ward"
"Armour of Hexes","Armour of Hexes is a The Hexblade warlock passive feature/reaction that nullifies attacks by cursed enemies.","https://bg3.wiki/wiki/Armour_of_Hexes"
"Assassinate: Ambush","Assassinate: Ambush is an Assassin Rogue passive feature that greatly increases damage against foes you surprise.","https://bg3.wiki/wiki/Assassinate%3A_Ambush"
"Assassinate: Initiative","Assassinate: Initiative is an Assassin Rogue passive feature that increases the chance of a successful attack if you act before they do.","https://bg3.wiki/wiki/Assassinate%3A_Initiative"
"Assassin's Alacrity","Assassin's Alacrity is an Assassin Rogue passive feature that greatly enhances your first turn in combat","https://bg3.wiki/wiki/Assassin's_Alacrity"
"Aura of Courage","Aura of Courage is a Paladin class action. This ability allows a Paladin to protect their allies from fear.","https://bg3.wiki/wiki/Aura_of_Courage"
"Aura of Devotion","Aura of Devotion is a Oath of Devotion paladin class action. This ability allows a paladin to protect their allies from being Charmed.","https://bg3.wiki/wiki/Aura_of_Devotion"
"Aura of Hate","Aura of Hate is a class action of Oathbreaker paladins. It gives bonus damage to the paladin and any nearby weapon-using fiends or undead.","https://bg3.wiki/wiki/Aura_of_Hate"
"Aura of Protection","Aura of Protection is a Paladin class action which improves the Paladin's and all nearby allies' Saving Throws.","https://bg3.wiki/wiki/Aura_of_Protection"
"Aura of Warding","Aura of Warding is an Oath of the Ancients paladin class action. This ability allows a paladin to protect their allies from damage from spells.","https://bg3.wiki/wiki/Aura_of_Warding"
"Bane","Bane may refer to: Bane, the deity and member of the Dead Three Bane (Condition), the condition applied by the Bane spell Bane (Spell), the level 1 enchantment spell","https://bg3.wiki/wiki/Bane"
"Banishing Smite","Banishing Smite is a level 5 abjuration spell. It allows spellcasters to imbue their weapon with power, dealing force damage and possibly Banishing the target.","https://bg3.wiki/wiki/Banishing_Smite"
"Barkskin","Barkskin is a level 2 transmutation spell. It allows spellcasters to fortify the defense of a willing creature and increase their Armour Class. While under the effect of this spell, the target's skin has a bark-like texture.","https://bg3.wiki/wiki/Barkskin"
"Beacon of Hope","Beacon of Hope is a level 3 abjuration spell. It allows spellcasters to bolster their allies with hope and vitality.","https://bg3.wiki/wiki/Beacon_of_Hope"
"Bear Companion","Bear Companion is a variant of Ranger's Companion which is a Subclass Feature of Rangers learned immediately upon choosing the Beast Master subclass. This ability allows the Beast Master to call upon their animal companion to fight and aid them in combat.","https://bg3.wiki/wiki/Bear_Companion"
"Beguiling Defences","Beguiling Defences is an Archfey Warlock passive feature that makes the Warlock immune to charm.","https://bg3.wiki/wiki/Beguiling_Defences"
"Bend Luck","Bend Luck is both a free action and reaction available to Wild Magic sorcerers that grants a bonus or penalty to a target's attack roll, ability check, or saving throw.","https://bg3.wiki/wiki/Bend_Luck"
"Benign Transposition","Benign Transposition Teleport is a Conjuration School Wizard class action that you can use to teleport near or swap places with an ally. This ability can be replenished by casting a Conjuration spell or resting.","https://bg3.wiki/wiki/Benign_Transposition%3A_Teleport"
"Bestial Fury","Bestial Fury is a Beast Master Ranger passive feature that enhances your companions by granting them the ability to make a second attack along with their first attack, similar to the Extra Attack class feature.","https://bg3.wiki/wiki/Bestial_Fury"
"Bestow Curse","Bestow Curse is a level 3 necromancy spell. It allows spellcasters to curse a target with their touch.","https://bg3.wiki/wiki/Bestow_Curse"
"Bind Hexed Weapon","Bind Hexed Weapon is a class action available to The Hexblade warlocks that allows them to bind a weapon and apply Hexblade curses.","https://bg3.wiki/wiki/Bind_Hexed_Weapon"
"Blade Flourish","Blade Flourish is an enhancement to Bardic Inspiration available to College of Swords Bards at Level 3 that provides a series of Weapon Action-like actions that all require a Bardic Inspiration Charge to use. Normal Bardic Inspiration actions are still available to College of Swords Bards.","https://bg3.wiki/wiki/Blade_Flourish"
"Blade of Rime","Blade of Rime is an action that allows a Way of the Four Elements Monk to use their equivalent of Ice Knife by expending Ki Points instead of spell slots.","https://bg3.wiki/wiki/Blade_of_Rime"
