"rarity","item","armour_type","proficiency","weight_kg","price_gp","special","where_to_find","source_url"
"Common","Bicorne of the Sea Beast","Non-Armour","None","0.5","1","","In the Peculiar Clothing Chest in the Traveller's Chest at the Campsite","https://bg3.wiki/wiki/Headwear"
"Common","Brimmed Hat","Non-Armour","None","0.5","5","","Found as random loot throughout the game.; This item can be found in a Backpack on the Ravaged Beach.; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Headwear"
"Common","Bycocket","Non-Armour","None","0.5","5","","Can be found on a table behind Gloomy Fentonson in Baldur's Gate.; Cloister of Sombre Embrace X: -332 Y: -1606: On a shelf in the Infiltration Training room.","https://bg3.wiki/wiki/Headwear"
"Common","Cap and Bells","Non-Armour","None","0.5","5","","Circus of the Last Days X: -40 Y: -53: In a chest inside a blue tent opposite of the clown stage.","https://bg3.wiki/wiki/Headwear"
"Common","Circlet","Non-Armour","None","0.5","15","","This is the starting headwear for Shadowheart.; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Headwear"
"Common","Devilfoil Mask","Non-Armour","None","0.5","50","Infernal Legion; Grants the Infernal Legion condition while worn.","Grymforge X: -620 Y: 325: On a table near Sergeant Thrinn, at the Dig Site; Grymforge X: -666 Y: 464: On the ground at the foot of a staircase by Skarjall, behind a wall of rubble; Grymforge X: -574 Y: 380: On an altar guarded by a Merregon Legionnaire and Hellsboars; Grymforge X: -574 Y: 380: Carried by the Merregon Legionnaire","https://bg3.wiki/wiki/Headwear"
"Common","Embroidered Bycocket","Non-Armour","None","0.5","5","","","https://bg3.wiki/wiki/Headwear"
"Common","Embroidered Hat","Non-Armour","None","0.5","5","","Cloister of Sombre Embrace X: -332 Y: -1606: On a shelf in the Infiltration Training room.; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Headwear"
"Common","Frumpy Hat","Non-Armour","None","0.5","5","","","https://bg3.wiki/wiki/Headwear"
"Common","Hat of Eminent Giggles","Non-Armour","None","0.5","5","","Cloister of Sombre Embrace X: -332 Y: -1606: On a shelf in the Infiltration Training room; Circus of the Last Days X: -32 Y: -51: Looted from a traveller's chest; Facemaker's Boutique X: -162 Y: -26: On a shelf; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Headwear"
