"item","rarity","enchantment","damage","damage_type","weight_kg","price_gp","shared_properties","shared_action","special","where_to_find","source_url"
"Glaive","Common","","1d10","Slashing","2.7","65","Two-Handed; Range: 2.5 m (8 ft); Extra Reach; Dippable","Rush Attack","","The Risen Road: In the hidden room in the cellar of the Risen Road Toll House","https://bg3.wiki/wiki/Glaives"
"Pactbound Glaive","Common","","1d10","Slashing","2.7","0","Two-Handed; Range: 2.5 m (8 ft); Extra Reach; Dippable","Rush Attack","","Summoned via Warlock's Pact of the Blade: Glaive; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Glaives"
"Rusty Glaive","Common","","1d10","Slashing","2.7","6","Two-Handed; Range: 2.5 m (8 ft); Extra Reach; Dippable","Rush Attack","","On a large pile of discarded weapons and armour near the Rivington gate at X: 10 Y: -131; [[Category:Sources of Slashing damage]; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Glaives"
"Scythe of Myrkul","Common","","2d12","Slashing","2.7","65","Two-Handed; Range: 2.5 m (8 ft); Extra Reach; Dippable","Rush Attack","Only useable by the Apostle of Myrkul ; Reaper's Scythe: Swing your weapon in a large arc that knocks targets back 3 m / 10 ft and deals an additional 3d6 Necrotic.","","https://bg3.wiki/wiki/Glaives"
"Glaive +1","Uncommon","+1","1d10 + 1","Slashing","2.7","85","Two-Handed; Range: 2.5 m (8 ft); Extra Reach; Dippable","Rush Attack","","Sold by any trader using the magic melee table","https://bg3.wiki/wiki/Glaives"
"Drakethroat Glaive","Rare","+2","1d10 + 2","Slashing","2.7","960","Two-Handed; Range: 2.5 m (8 ft); Extra Reach; Dippable","Rush Attack","Vicious Dragon Breath; Enemies have Disadvantage on Saving Throws against your dragonborn breath weapon.; Draconic Elemental Weapon; Cast as a level 3 spell ( Recharge: Long rest.)","Moonrise Towers X: -174 Y: -179: Sold by Roah Moonglow on the main floor","https://bg3.wiki/wiki/Glaives"
"Monster Slayer Glaive","Rare","+1","1d10 + 1","Slashing","2.7","380","Two-Handed; Range: 2.5 m (8 ft); Extra Reach; Dippable","Rush Attack","Monsterslayer; This weapon deals an additional 1d4 damage against Monstrosity type foes.; Refined Vaulting; Jump distance is increased by 1.5 m (5 ft).","Shattered Sanctum X: 272 Y: -31: Sold by Roah Moonglow, to the left beyond the sanctum entrance","https://bg3.wiki/wiki/Glaives"
"Moonlight Glaive","Rare","+2","1d10 + 2; 1d4","Slashing; Radiant","2.7","380","Two-Handed; Range: 2.5 m (8 ft); Extra Reach; Dippable","Rush Attack","Moonlight Glaive: Glowing; This object shines with a glowing light in a radius of 6 m / 20 ft.; Moonlight Butterflies; Strike a foe, conjuring an illusory swarm of moon-pale butterflies and gaining Advantage on attacks against the target. ( Recharge: Short rest.)","Shadowfell X: -604 Y: -1431: Rewarded by the Nightsong for freeing her during the Find the Nightsong quest","https://bg3.wiki/wiki/Glaives"
"Sorrow","Rare","+1","1d10 + 1","Slashing","2.7","380","Two-Handed; Range: 2.5 m (8 ft); Extra Reach; Dippable","Rush Attack","Sorrowful Lash; Cast as a cantrip ( Recharge: Per turn.)","Hidden Vault X: 183 Y: -82: On a stone slab at the Wolf altar in the Hidden Vault","https://bg3.wiki/wiki/Glaives"
"The Dancing Breeze","Very Rare","+2","1d10 + 2","Slashing","2.7","960","Two-Handed; Range: 2.5 m (8 ft); Extra Reach; Dippable","Rush Attack","Whirlwind Attack; Strike out at all nearby foes, making separate Attack Rolls against each target. ( Recharge: Short rest.)","Rivington General X: 7 Y: -35: Sold by Exxvikyap in Rivington during Act Three","https://bg3.wiki/wiki/Glaives"
