"rarity","item","proficiency","weight_kg","price_gp","special","where_to_find","source_url"
"Common","'Magic' Ring","None","0.05","3","","Emerald Grove X: 246 Y: 553: Received from Mattis at his stall","https://bg3.wiki/wiki/Rings"
"Common","Amethyst Ring","None","0.05","18","","In chests and carried by characters throughout the game; Variant An Amethyst Ring is a common Ring. Primarily of use for bartering or sale to Traders.; The silver band's cool undertones highlight this ring's vivid purple gemstone.","https://bg3.wiki/wiki/Rings"
"Common","Amethyst Ring","None","0.05","18","","In chests and carried by characters throughout the game; Variant An Amethyst Ring is a common Ring. Primarily of use for bartering or sale to Traders.; The silver band's cool undertones highlight this ring's vivid purple gemstone.","https://bg3.wiki/wiki/Rings"
"Common","Amethyst Ring","None","0.05","20","","In chests and carried by characters throughout the game; Variant An Amethyst Ring is a common Ring. Primarily of use for bartering or sale to Traders.; The silver band's cool undertones highlight this ring's vivid purple gemstone.","https://bg3.wiki/wiki/Rings"
"Common","Amethyst Ring","None","0.05","20","","In chests and carried by characters throughout the game; Variant An Amethyst Ring is a common Ring. Primarily of use for bartering or sale to Traders.; The silver band's cool undertones highlight this ring's vivid purple gemstone.","https://bg3.wiki/wiki/Rings"
"Common","Bloody Signet Ring","None","0.05","20","","Elfsong Tavern: On the floor in Stelmane's private room; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Rings"
"Common","Bronze Ring","None","0.05","14","","In chests and carried by characters throughout the game; Variant A Bronze Ring describes a variety of common Ring, primarily of value for use in trading or bartering with vendors.; A cheap ring, decorated only with a sizeable green agate.","https://bg3.wiki/wiki/Rings"
"Common","Bronze Ring","None","0.05","14","","In chests and carried by characters throughout the game; Variant A Bronze Ring describes a variety of common Ring, primarily of value for use in trading or bartering with vendors.; A cheap ring, decorated only with a sizeable green agate.","https://bg3.wiki/wiki/Rings"
"Common","Carnelian Ring","None","0.05","14","","In chests and carried by characters throughout the game; Variant An Carnelian Ring is a common Ring. Primarily of use for bartering or sale to Traders.; Considered a token of good fortune, this ring's stones are perfectly smooth.","https://bg3.wiki/wiki/Rings"
"Common","Carnelian Ring","None","0.05","14","","In chests and carried by characters throughout the game; Variant An Carnelian Ring is a common Ring. Primarily of use for bartering or sale to Traders.; Considered a token of good fortune, this ring's stones are perfectly smooth.","https://bg3.wiki/wiki/Rings"
"Common","Copper Band","None","0.05","14","","In chests and carried by characters throughout the game; Variant A Copper Band is a common type of Ring. Primarily of use for bartering or sale to Traders.; This chunky copper ring is embedded with dark green stones.","https://bg3.wiki/wiki/Rings"
"Common","Copper Band","None","0.05","14","","In chests and carried by characters throughout the game; Variant A Copper Band is a common type of Ring. Primarily of use for bartering or sale to Traders.; This chunky copper ring is embedded with dark green stones.","https://bg3.wiki/wiki/Rings"
"Common","Copper Ring","None","0.05","14","","In chests and carried by characters throughout the game; Variant Copper Ring is a common Ring that can be sold for Gold or bartered to a Merchant.; Inlaid with semi precious stones, this ring looks expensive - at first glance.","https://bg3.wiki/wiki/Rings"
"Common","Copper Ring","None","0.05","14","","In chests and carried by characters throughout the game; Variant Copper Ring is a common Ring that can be sold for Gold or bartered to a Merchant.; Inlaid with semi precious stones, this ring looks expensive - at first glance.","https://bg3.wiki/wiki/Rings"
"Common","Dark Ring","None","0.05","14","","In chests and carried by characters throughout the game; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Rings"
"Common","Dowry Ring","None","0.05","20","","Waukeen's Rest X: -99 Y: 619: In a Gilded Chest, in a haystack, inside a barn, in the building to the west","https://bg3.wiki/wiki/Rings"
"Common","Emerald Ring","None","0.05","14","","In chests and carried by characters throughout the game; Variant An Emerald Ring is a common type of Ring. Primarily of use for barter or sale to Traders.; Imported in bulk from Calimshan, the gemstone set in this ring is roughly finished and marred with visible flaws.","https://bg3.wiki/wiki/Rings"
"Common","Emerald Ring","None","0.05","14","","In chests and carried by characters throughout the game; Variant An Emerald Ring is a common type of Ring. Primarily of use for barter or sale to Traders.; Imported in bulk from Calimshan, the gemstone set in this ring is roughly finished and marred with visible flaws.","https://bg3.wiki/wiki/Rings"
"Common","Garnet Ring","None","0.05","20","","In chests and carried by characters throughout the game; Variant A Garnet Ring is a common type of Ring. Primarily of use for barter or sale to Traders.; The garnet at the centrepiece of this ring is like an unblinking, malevolent eye.","https://bg3.wiki/wiki/Rings"
"Common","Garnet Ring","None","0.05","20","","In chests and carried by characters throughout the game; Variant A Garnet Ring is a common type of Ring. Primarily of use for barter or sale to Traders.; The garnet at the centrepiece of this ring is like an unblinking, malevolent eye.","https://bg3.wiki/wiki/Rings"
"Common","Garnet Ring","None","0.05","20","","In chests and carried by characters throughout the game; Variant A Garnet Ring is a common type of Ring. Primarily of use for barter or sale to Traders.; The garnet at the centrepiece of this ring is like an unblinking, malevolent eye.","https://bg3.wiki/wiki/Rings"
"Common","Garnet Ring","None","0.05","20","","In chests and carried by characters throughout the game; Variant A Garnet Ring is a common type of Ring. Primarily of use for barter or sale to Traders.; The garnet at the centrepiece of this ring is like an unblinking, malevolent eye.","https://bg3.wiki/wiki/Rings"
"Common","Garnet Ring","None","0.05","20","","In chests and carried by characters throughout the game; Variant A Garnet Ring is a common type of Ring. Primarily of use for barter or sale to Traders.; The garnet at the centrepiece of this ring is like an unblinking, malevolent eye.","https://bg3.wiki/wiki/Rings"
"Common","Garnet Ring","None","0.05","20","","In chests and carried by characters throughout the game; Variant A Garnet Ring is a common type of Ring. Primarily of use for barter or sale to Traders.; The garnet at the centrepiece of this ring is like an unblinking, malevolent eye.","https://bg3.wiki/wiki/Rings"
"Common","Gold Band","None","0.05","20","","In chests and carried by characters throughout the game; Variant A Gold Band is a common type of Ring. Primarily of use for bartering or sale to Traders.; A weighted gold ring embellished with emeralds of varying sizes. Simple, but elegant.","https://bg3.wiki/wiki/Rings"
