"item","rarity","enchantment","damage","damage_type","weight_kg","price_gp","shared_properties","shared_action","special","where_to_find","source_url"
"Flame Blade (weapon)","Common","","3d6","Fire","0.5","30","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Lacerate","","Conjured by the Flame Blade spell","https://bg3.wiki/wiki/Scimitars"
"Goblin Scimitar","Common","","1d6","Slashing","1.35","30","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Lacerate","","Carried by goblins in the Goblin Camp; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Scimitars"
"Rusty Scimitar","Common","","1d6","Slashing","1.35","3","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Lacerate","","On a large pile of discarded weapons and armour near the Rivington gate at X: 10 Y: -131; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Scimitars"
"Scimitar (Sharran)","Common","","1d8","Slashing","1.35","30","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Lacerate","","Carried by several Sharrans in the House of Grief; Carried by some Justiciar Avengers","https://bg3.wiki/wiki/Scimitars"
"Scimitar (Akabi)","Common","","1d6","Slashing","1.35","30","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Lacerate","","Circus of the Last Days X: -67 Y: -74: Carried by Akabi","https://bg3.wiki/wiki/Scimitars"
"Scimitar","Common","","1d6","Slashing","1.35","30","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Lacerate","","","https://bg3.wiki/wiki/Scimitars"
"Kurwin's Cauteriser","Uncommon","+1","1d6 + 1; 1d4","Slashing; Fire","1.35","65","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Lacerate","Cauteriser; Deals an additional 1d4 Fire. On a hit, the target starts Burning unless it succeeds a Constitution Saving throw.","Graveyard (Lower City) X: 7 Y: 24: carried by Bugthimble","https://bg3.wiki/wiki/Scimitars"
"Scimitar +1","Uncommon","+1","1d6 + 1","Slashing","1.35","40","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Lacerate","","Sold by any trader using the magic melee table","https://bg3.wiki/wiki/Scimitars"
"Speedy Reply","Uncommon","","1d6","Slashing","1.35","65","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Lacerate","Nimble Attack; When the wielder hits an enemy with this weapon, they gain Momentum for 2 turns.","The Risen Road X: 25 Y: 603: on the body of a dead caravan agent, near the cave where gnolls are attacking the caravan's survivors","https://bg3.wiki/wiki/Scimitars"
"Sylvan Scimitar","Uncommon","+1","1d6 + 1","Slashing","1.35","65","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Lacerate","Melee Caster; Instead of its Dexterity ability score modifier, the affected entity add its spellcasting modifier to attack rolls.","Last Light Inn X: -28 Y: 129: Carried by Jaheira","https://bg3.wiki/wiki/Scimitars"
"Adamantine Scimitar","Rare","+1","1d6 + 1","Slashing","1.35","190","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Lacerate","Diamondsbane; If an adamantine weapon hits an object, the hit is always critical.; Lethal Weapon; This weapon ignores Resistance to Slashing damage.","Adamantine Forge (location) X: -558 Y: 230: Forged with a Scimitar Mould and Mithral Ore","https://bg3.wiki/wiki/Scimitars"
"Salty Scimitar(rrr)","Rare","+2","1d6 + 2","Slashing","1.35","190","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Lacerate","Command; Cast as a level 1 spell ( Recharge: Long rest.)","The Blushing Mermaid X: -2339 Y: -127: Carried by the real Captain Grisly in the basement","https://bg3.wiki/wiki/Scimitars"
"Scimitar +2","Rare","+2","1d6 + 2","Slashing","1.35","95","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Lacerate","","Sold by various traders depending on the main character's level; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Scimitars"
"Thorn Blade","Rare","+1","1d6 + 1","Slashing","1.35","190","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Lacerate","Poisonous Synergy; While concentrating, your melee weapon attacks deal an additional 1d4 Poison.; Ensnaring Strike (Melee) ( + ); Cast as a level 1 spell ( Recharge: Long rest.)","Last Light Inn X: -33 Y: 164: Sold by Dammon","https://bg3.wiki/wiki/Scimitars"
"Belm","Very Rare","+2","1d6 + 2","Slashing","1.35","480","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Lacerate","Perfectly Balanced Strike; Send Belm snaking out with an adder's speed, the very exemplar of swiftness embodied in steel. ( Recharge: Per turn.); Whirlwind Attack; Strike out at all nearby foes, making separate Attack Rolls against each target. ( Recharge: Short rest.)","Elerrathin's Home X: -210 Y: -50: in an opulent chest in the basement","https://bg3.wiki/wiki/Scimitars"
"Justiciar's Scimitar","Very Rare","+2","1d6 + 2","Slashing","1.35","480","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Dippable","Lacerate","Shadow-Blinding; If you attack with Advantage, you have a chance to Blind your target.[See: Bugs]; Shadow Blade; You have Advantage on Attack Rolls against Lightly or Heavily Obscured targets when using this blade.; Shadowsoaked Blow; Strike an enemy, adding your proficiency bonus to the damage. Moreover, if the attack hits, it deals an additional 1d6 Psychic damage. This attack doesn't break concealment. ( Recharge: Short rest.)","Gauntlet of Shar X: -713 Y: -732: Carried by Lyrthindor","https://bg3.wiki/wiki/Scimitars"
