"item","rarity","enchantment","damage","damage_type","weight_kg","price_gp","shared_properties","shared_action","special","where_to_find","source_url"
"False Spear of the Night","Common","","1d6","Piercing","1.35","2","1d8 (1~8) + Strength modifier Piercing; Versatile; Melee: 1.5 m (5 ft); Thrown; Dippable","Rush Attack","","Gauntlet of Shar X: -725 Y: -847: On weapon rack, in the room immediately preceding the Shadowfell; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Spears"
"Makeshift Spear","Common","","1d6","Piercing","1.35","16","1d8 (1~8) + Strength modifier Piercing; Versatile; Melee: 1.5 m (5 ft); Thrown; Dippable","Rush Attack","","Goblin Camp: Sold by Grat; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Spears"
"Pitchfork","Common","","1d6","Piercing","1.35","16","1d8 (1~8) + Strength modifier Piercing; Versatile; Melee: 1.5 m (5 ft); Thrown; Dippable","Rush Attack","","Throughout the world; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Spears"
"Rusty Spear","Common","","1d6","Piercing","1.35","2","1d8 (1~8) + Strength modifier Piercing; Versatile; Melee: 1.5 m (5 ft); Thrown; Dippable","Rush Attack","","In the Astral Prism; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Spears"
"Sahuagin Spear","Common","","1d8","Piercing","1.35","16","1d8 (1~8) + Strength modifier Piercing; Versatile; Melee: 1.5 m (5 ft); Thrown; Dippable","Rush Attack","","","https://bg3.wiki/wiki/Spears"
"Spear","Common","","1d6","Piercing","1.35","10","1d8 (1~8) + Strength modifier Piercing; Versatile; Melee: 1.5 m (5 ft); Thrown; Dippable","Rush Attack","","","https://bg3.wiki/wiki/Spears"
"Jagged Spear","Uncommon","","1d6","Piercing","1.35","330","1d8 (1~8) + Strength modifier Piercing; Versatile; Melee: 1.5 m (5 ft); Thrown; Dippable","Rush Attack","Torturous Edges; Tortured creatures may receive Disadvantage on Constitution Saving Throws.","Shattered Sanctum X: 334 Y: -37: On the ground near Torturer Spike, east of the Sanctum entrance","https://bg3.wiki/wiki/Spears"
"Lightning Jabber","Uncommon","+1","1d6 + 1; 1d4","Piercing; Lightning","1.35","65","1d8 (1~8) + Strength modifier Piercing; Versatile; Melee: 1.5 m (5 ft); Thrown; Dippable","Rush Attack","Shocking Sting; On a hit, possibly Shock[See: Bugs] your target.; Throwing: Lightning Damage; When launched at a target, deal an additional 1d4 Lightning damage.","Reithwin Town X: -148 Y: 115: Carried by the Cursed Kuo-Toa Chief in the Cursed Kuo-toa ambush North East of the Grand Mausoleum entrance","https://bg3.wiki/wiki/Spears"
"Spear +1","Uncommon","+1","1d6 + 1","Piercing","1.35","40","1d8 (1~8) + Strength modifier Piercing; Versatile; Melee: 1.5 m (5 ft); Thrown; Dippable","Rush Attack","","Sold by any trader using the magic melee table","https://bg3.wiki/wiki/Spears"
"The Watcher's Guide","Uncommon","","1d6","Piercing","1.35","200","1d8 (1~8) + Strength modifier Piercing; Versatile; Melee: 1.5 m (5 ft); Thrown; Dippable","Rush Attack","Death's Promise; When the spear misses its target, the wielder's next Attack roll against that target gains True Strike.","Dank Crypt X: -293 Y: -323: In the sarcophagus surrounded by statues and traps","https://bg3.wiki/wiki/Spears"
"Vision of the Absolute","Uncommon","","1d6","Piercing","1.35","330","1d8 (1~8) + Strength modifier Piercing; Versatile; Melee: 1.5 m (5 ft); Thrown; Dippable","Rush Attack","Absolute Night; Blind targets that fail a Dexterity Saving Throw. Deals an additional 2d6 Piercing to certain creatures that sport multiple sets of eyes.","Wilderness: Created by combining: Shaft of a Broken Spear - carried by Edowin in the Forest west of the Druid Grove at X: 136 Y: 446; Head of a Broken Spear - carried by the Owlbear mother in the Owlbear Nest","https://bg3.wiki/wiki/Spears"
"Infernal Spear","Rare","+1","1d6 + 1; 3","Piercing; Poison","1.35","190","1d8 (1~8) + Strength modifier Piercing; Versatile; Melee: 1.5 m (5 ft); Thrown; Dippable","Rush Attack","Infernal Weapon; On a hit, this weapon deals an additional 3 Poison damage and can possibly Poison its target.","Wyrm's Rock Fortress X: -13 Y: 202: Carried by Iron Consul Mian; Wyrm's Rock Fortress X: -10 Y: 212: Carried by Iron Consul Nuff","https://bg3.wiki/wiki/Spears"
"Spear +2","Rare","+2","1d6 + 2","Piercing","1.35","95","1d8 (1~8) + Strength modifier Piercing; Versatile; Melee: 1.5 m (5 ft); Thrown; Dippable","Rush Attack","","Carried by Dream Guardians or Breaker of War in the final fight scenario; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Spears"
"Spear of Night","Rare","+1","1d6 + 1","Piercing","1.35","190","1d8 (1~8) + Strength modifier Piercing; Versatile; Melee: 1.5 m (5 ft); Thrown; Dippable","Rush Attack","Shar's Blessing; If Shar allows it, use this spear to kill Nightsong.","Gauntlet of Shar X: -820 Y: -756: On a shrine in the Silent Library, beyond the riddle door","https://bg3.wiki/wiki/Spears"
"Selûne's Spear of Night","Legendary","+3","1d6 + 3","Piercing","1.35","640","1d8 (1~8) + Strength modifier Piercing; Versatile; Melee: 1.5 m (5 ft); Thrown; Dippable","Rush Attack","Selûne's Blessing; You gain Advantage on Wisdom Saving throws and Perception Checks.; Darkvision; Can see in the dark up to 12 m (40 ft).; Moonbeam; Cast as a level 3 spell ( Recharge: Long rest.); Moonmote; Cast as a cantrip ( Recharge: Long rest.)","Given to Shadowheart by Aylin at the campsite","https://bg3.wiki/wiki/Spears"
"Shar's Spear of Evening","Legendary","+3","1d6 + 3","Piercing","2.7","640","1d8 (1~8) + Strength modifier Piercing; Versatile; Melee: 1.5 m (5 ft); Thrown; Dippable","Rush Attack","Shar's Blessing; You gain Advantage on Saving throws while Lightly or Heavily Obscured. This weapon deals an additional 1d6 damage to creatures that are Lightly or Heavily Obscured.; Blind Immunity; The wearer cannot be Blinded.; Shar's Darkness; Cast as a level 2 spell ( Recharge: Per turn.); Edge of Darkness; Create a cloud of Darkness while you attack. [See Notes] ( Recharge: Short rest.)","Shadowfell X: -604 Y: -1431: Rewarded to Shadowheart for killing the Nightsong","https://bg3.wiki/wiki/Spears"
