"item","rarity","enchantment","damage","damage_type","weight_kg","price_gp","shared_properties","shared_action","special","where_to_find","source_url"
"Cemetery-Blue Torch","Common","","1d4; 1d4","Bludgeoning; Fire","0.9","10","One-Handed; Melee 1.5 m (5 ft); Light; Dippable","Concussive Smash","","Felogyr's Fireworks X: 530 Y: 1056: in a chest in the basement","https://bg3.wiki/wiki/Clubs"
"Club","Common","","1d4","Bludgeoning","0.9","10","One-Handed; Melee 1.5 m (5 ft); Light; Dippable","Concussive Smash","","","https://bg3.wiki/wiki/Clubs"
"Cultist Brand","Common","","1d4","Bludgeoning","0.9","10","One-Handed; Melee 1.5 m (5 ft); Light; Dippable","Concussive Smash","","","https://bg3.wiki/wiki/Clubs"
"Drunk-Purple Torch","Common","","1d4; 1d4","Bludgeoning; Fire","0.9","10","One-Handed; Melee 1.5 m (5 ft); Light; Dippable","Concussive Smash","","Felogyr's Fireworks X: 530 Y: 1056: in a chest in the basement","https://bg3.wiki/wiki/Clubs"
"Lantern","Common","","1d4; 1d4","Bludgeoning; Fire","0.9","10","One-Handed; Melee 1.5 m (5 ft); Light; Dippable","Concussive Smash","","Carried by various Absolute Cultists throughout the Shadow-Cursed Lands; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Clubs"
"Plague-Green Torch","Common","","1d4; 1d4","Bludgeoning; Fire","0.9","10","One-Handed; Melee 1.5 m (5 ft); Light; Dippable","Concussive Smash","","Felogyr's Fireworks X: 530 Y: 1056: in a chest in the basement","https://bg3.wiki/wiki/Clubs"
"Torch","Common","","1d4; 1d4","Bludgeoning; Fire","0.9","10","One-Handed; Melee 1.5 m (5 ft); Light; Dippable","Concussive Smash","","Throughout the game","https://bg3.wiki/wiki/Clubs"
"Twisting Branch","Common","","1d4","Bludgeoning","0.9","10","One-Handed; Melee 1.5 m (5 ft); Light; Dippable","Concussive Smash","","Decrepit Sanctuary: Carried by the Wood Woads in the Sunlit Wetlands","https://bg3.wiki/wiki/Clubs"
"Whipping Cane","Common","","1d4","Bludgeoning","0.9","10","One-Handed; Melee 1.5 m (5 ft); Light; Dippable","Concussive Smash","","Grymforge: In and around the Duergar camp; Grymforge X: -668 Y: 442: Carried by Skarjall; Carried by some Duergar characters; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Clubs"
"Broken Club","Common","","1d4","Bludgeoning","0.9","10","One-Handed; Melee 1.5 m (5 ft); Light; Dippable","Concussive Smash","","The Risen Road X: -657 Y: -425: In the Toll House basement; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Clubs"
"Salami","Common","","1d4","Bludgeoning","0.9","10","One-Handed; Melee 1.5 m (5 ft); Light; Dippable","Concussive Smash","","","https://bg3.wiki/wiki/Clubs"
"Club +1","Uncommon","+1","1d4 + 1","Bludgeoning","0.9","17","One-Handed; Melee 1.5 m (5 ft); Light; Dippable","Concussive Smash","","Reithwin Tollhouse X: -95 Y: -92: On a skeleton at top of the building; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Clubs"
"Club of Hill Giant Strength","Uncommon","","1d4","Bludgeoning","0.9","65","One-Handed; Melee 1.5 m (5 ft); Light; Dippable","Concussive Smash","Splinters of a Giant's Might: Increases Strength to 19.","Arcane Tower X: -26 Y: -272: Obtained by breaking the Stool of Hill Giant Strength","https://bg3.wiki/wiki/Clubs"
"Ironwood Club","Uncommon","+1","1d4 + 1","Bludgeoning","0.9","65","One-Handed; Melee 1.5 m (5 ft); Light; Dippable","Concussive Smash","When Shillelagh is cast on this weapon, grants Ironwood Harmony (+1d4 Bludgeoning damage).","Ruined Battlefield X: 40 Y: 60: Carried by by the Shadow-Cursed Shambling Mound","https://bg3.wiki/wiki/Clubs"
"Shadow Lantern","Rare","","1d4","Bludgeoning","0.9","190","One-Handed; Melee 1.5 m (5 ft); Light; Dippable","Concussive Smash","Conjure Shadow Lantern Wraith (Action): Cast as a level 6 spell; recharges on Long Rest.","Moonrise Towers X: -150 Y: -165: Gale can craft one from a Broken Moonlantern and Dead Pixie at the table within Balthazar's hidden room.","https://bg3.wiki/wiki/Clubs"
"Moonlantern","Story Item","","1d4","Bludgeoning","0.9","30","One-Handed; Melee 1.5 m (5 ft); Light; Dippable","Concussive Smash","","Ruined Battlefield X: 0 Y: -15: Carried by Kar'niss, either after the Harper ambush or at the top of Moonrise Towers; Last Light Inn X: -63 Y: 172: Given by Isobel if letting the Harpers take the Moonlantern; Moonrise Towers: In Balthazar's room in Moonrise Towers","https://bg3.wiki/wiki/Clubs"
"Torch of Revocation","Story Item","+1","1d4 + 1; 1d4; 1d4","Bludgeoning; Necrotic; Fire","0.9","145","One-Handed; Melee 1.5 m (5 ft); Light; Dippable","Concussive Smash","","Philgrave's Mansion X: 14 Y: -160: Given by Mystic Carrion as a potential reward for the quest Find Mystic Carrion's Servant, or in the locked chest behind Mystic Carrion","https://bg3.wiki/wiki/Clubs"
