"item","rarity","enchantment","damage","damage_type","weight_kg","price_gp","shared_properties","shared_action","special","where_to_find","source_url"
"Pactbound Rapier","Common","","1d8","Piercing","0.9","0","One-Handed; Melee: 1.5 m (5 ft); Finesse; Dippable","Piercing Strike","","Summoned via Warlock's Pact of the Blade: Rapier","https://bg3.wiki/wiki/Rapiers"
"Rapier","Common","","1d8","Piercing","0.9","65","One-Handed; Melee: 1.5 m (5 ft); Finesse; Dippable","Piercing Strike","","","https://bg3.wiki/wiki/Rapiers"
"Rapier +1","Uncommon","+1","1d8 + 1","Piercing","0.9","85","One-Handed; Melee: 1.5 m (5 ft); Finesse; Dippable","Piercing Strike","","Sold by any trader using the magic melee table","https://bg3.wiki/wiki/Rapiers"
"Rupturing Blade","Uncommon","+1","1d8 + 1","Piercing","0.9","130","One-Handed; Melee: 1.5 m (5 ft); Finesse; Dippable","Piercing Strike","Searing Blood; Cut into an enemy, dealing an extra Proficiency bonus Fire and 1d6 Fire damage to them, while you yourself take 1d6 Slashing damage. Additionally, the attack might cause the target to Bleed and Burn. ( Recharge: Short rest.)","Zhentarim Basement X: 295 Y: -250: Sold by Brem after completing the quest Find the Missing Shipment","https://bg3.wiki/wiki/Rapiers"
"Sword of Screams","Uncommon","","1d8; 1d4","Piercing; Psychic","0.9","130","One-Handed; Melee: 1.5 m (5 ft); Finesse; Dippable","Piercing Strike","","Grymforge X: -854 Y: -780: Carried by Nere near the cave-in in the main forge area; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Rapiers"
"Harmonic Dueller","Rare","+1","1d8 + 1","Piercing","0.9","380","One-Handed; Melee: 1.5 m (5 ft); Finesse; Dippable","Piercing Strike","Mellow Harmony; You make a DC 15 Performance Check, success granting all your melee weapon attacks additional damage equal to your Charisma modifier (minimum 1 additional damage). ( Recharge: Short rest.)","Danthelon's Dancing Axe X: -10 Y: 143: Sold by Entharl Danthelon in Wyrm's Crossing","https://bg3.wiki/wiki/Rapiers"
"Rapier +2","Rare","+2","1d8 + 2","Piercing","0.9","190","One-Handed; Melee: 1.5 m (5 ft); Finesse; Dippable","Piercing Strike","","Sold by various traders depending on the party's level; Carried by Pactsplitter in the final fight Atop the Netherbrain, if a warlock is in the party; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Rapiers"
"Infernal Rapier","Very Rare","+2","1d8 + 2","Piercing","0.9","960","One-Handed; Melee: 1.5 m (5 ft); Finesse; Dippable","Piercing Strike","High Spellcasting; You gain a +1 bonus to Spell Save DC.; Melee Caster; Instead of its Dexterity ability score modifier, the affected entity add its spellcasting modifier to attack rolls.; Planar Ally: Cambion; Cast as a level 6 spell ( Recharge: Long rest.)","Mind Flayer Colony X: 676 Y: 39: Possibly rewarded by Mizora to Wyll if freed during his companion quest, The Blade of Frontiers","https://bg3.wiki/wiki/Rapiers"
"Pelorsun Blade","Very Rare","+1","1d8 + 1; 1d4","Piercing; Radiant","0.9","960","One-Handed; Melee: 1.5 m (5 ft); Finesse; Dippable","Piercing Strike","Undead Bane; Attack rolls with this weapon have Advantage against Undead.[See: Bugs]","Cazador's Dungeon X: -1928 Y: 852: Under a dirt mound, inside a trapped rosewood casket (the casket is only revealed after DC 15 Perception Check)","https://bg3.wiki/wiki/Rapiers"
"Duellist's Prerogative","Legendary","+3","1d8 + 3; 1d4","Piercing; Necrotic","0.9","1300","One-Handed; Melee: 1.5 m (5 ft); Finesse; Dippable","Piercing Strike","Elegant Duellist; While your off-hand is empty, you score a Critical Hit when rolling a 19. Moreover, you gain an additional Reaction per turn.; Withering Cut; On a hit with a melee weapon, use a Reaction to deal additional Necrotic damage equal to your Proficiency Bonus.; Challenge to Duel; Challenge an enemy to attack only you, inflicting Bleeding on the target. ; Dueller's Enthusiasm; While you are not dual-wielding and your off hand is empty, you can make an additional melee attack with The Dueller. ( Recharge: Per turn.)","Lora's House X: -65 Y: -89: Reward from Lora Bergauz for completing the quest Save Vanra","https://bg3.wiki/wiki/Rapiers"
