trait,description,source_url
Human Versatility,Carrying capacity is increased by 25%.,https://bg3.wiki/wiki/Races
Fey Ancestry,Gain advantage against being Charmed and immunity to magical Sleep.,https://bg3.wiki/wiki/Races
Darkvision,See in the dark up to 12 m.,https://bg3.wiki/wiki/Races
Superior Darkvision,See in the dark up to 24 m.,https://bg3.wiki/wiki/Races
Drow Magic,Gain Dancing Lights at level 1 Faerie Fire at level 3 and Darkness at level 5.,https://bg3.wiki/wiki/Races
Fleet of Foot,Base movement speed is increased by 1.5 m.,https://bg3.wiki/wiki/Races
Savage Attacks,Add one additional damage die when scoring a critical hit with a melee weapon.,https://bg3.wiki/wiki/Races
Relentless Endurance,Drop to 1 hit point instead of being downed once per long rest.,https://bg3.wiki/wiki/Races
Halfling Luck,Reroll once when rolling a 1 for an attack roll ability check or saving throw.,https://bg3.wiki/wiki/Races
Brave,Gain advantage against being Frightened.,https://bg3.wiki/wiki/Races
Naturally Stealthy,Gain advantage on Stealth checks.,https://bg3.wiki/wiki/Races
Strongheart Resilience,Gain advantage against being Poisoned and resistance to Poison damage.,https://bg3.wiki/wiki/Races
Dwarven Resilience,Gain advantage against being Poisoned and resistance to Poison damage.,https://bg3.wiki/wiki/Races
Dwarven Toughness,Maximum hit points increase by 1 for every character level.,https://bg3.wiki/wiki/Races
Duergar Resilience,Gain advantage on saving throws against illusions and against being Charmed or Paralysed.,https://bg3.wiki/wiki/Races
Duergar Magic,Gain Enlarge at level 3 and Invisibility at level 5.,https://bg3.wiki/wiki/Races
Gnome Cunning,Gain advantage on Intelligence Wisdom and Charisma saving throws.,https://bg3.wiki/wiki/Races
Additional Spell,Gain Speak with Animals as an at-will spell.,https://bg3.wiki/wiki/Races
Stone Camouflage,Gain advantage on Stealth checks.,https://bg3.wiki/wiki/Races
Hellish Resistance,Gain resistance to Fire damage.,https://bg3.wiki/wiki/Races
Infernal Legacy,Gain Produce Flame at level 1 Hellish Rebuke at level 3 and Darkness at level 5.,https://bg3.wiki/wiki/Races
Legacy of Cania,Gain Mage Hand at level 1 Burning Hands at level 3 and Flame Blade at level 5.,https://bg3.wiki/wiki/Races
Legacy of Avernus,Gain Thaumaturgy at level 1 Searing Smite at level 3 and Branding Smite at level 5.,https://bg3.wiki/wiki/Races
Astral Knowledge,Gain proficiency in all skills associated with a chosen ability until the next long rest.,https://bg3.wiki/wiki/Races
Githyanki Psionics,Gain Mage Hand at level 1 Enhance Leap at level 3 and Misty Step at level 5.,https://bg3.wiki/wiki/Races
Draconic Ancestry,Gain resistance to the damage type associated with your draconic ancestry.,https://bg3.wiki/wiki/Races
Acid Breath,Exhale a 5 m line that deals Acid damage.,https://bg3.wiki/wiki/Races
Lightning Breath,Exhale a 5 m line that deals Lightning damage.,https://bg3.wiki/wiki/Races
Fire Breath (Line),Exhale a 5 m line that deals Fire damage.,https://bg3.wiki/wiki/Races
Fire Breath (Cone),Exhale a 5 m cone that deals Fire damage.,https://bg3.wiki/wiki/Races
Poison Breath,Exhale a 5 m cone that deals Poison damage.,https://bg3.wiki/wiki/Races
Frost Breath,Exhale a 5 m cone that deals Cold damage.,https://bg3.wiki/wiki/Races
One Cantrip of choice,Choose one cantrip from the Wizard spell list.,https://bg3.wiki/wiki/Races
