"item","rarity","enchantment","damage","damage_type","weight_kg","price_gp","shared_properties","shared_action","special","where_to_find","source_url"
"Goblin Bow","Common","","1d6","Piercing","0.9","16","Two-Handed; Range: 18 m (60 ft); Dippable","Hamstring Shot","","Carried by goblins in- and outside the Goblin Camp; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Shortbows"
"Makeshift Bow","Common","","1d6; 1d10","Piercing; Necrotic","0.9","16","Two-Handed; Range: 18 m (60 ft); Dippable","Hamstring Shot","","Carried by Skeleton (Animate Dead)","https://bg3.wiki/wiki/Shortbows"
"Shortbow","Common","","1d6","Piercing","0.9","16","Two-Handed; Range: 18 m (60 ft); Dippable","Hamstring Shot","","Starting equipment for Rangers; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Shortbows"
"Bow of Awareness","Uncommon","+1","1d6 + 1","Piercing","0.9","65","Two-Handed; Range: 18 m (60 ft); Dippable","Hamstring Shot","Seldom Caught Unawares; You gain a +1 bonus to Initiative rolls.","Shattered Sanctum X: 272 Y: -31: Sold by Roah Moonglow, to the left beyond the sanctum entrance","https://bg3.wiki/wiki/Shortbows"
"Hunting Shortbow","Uncommon","+1","1d6 + 1","Piercing","0.9","65","Two-Handed; Range: 18 m (60 ft); Dippable","Hamstring Shot","Feller of Monsters; You have Advantage against Monstrosity type enemies.; Hunter's Mark; Cast as a level 1 spell ( Recharge: Long rest.)","The Hollow X: 177 Y: 562: Sold by Dammon in the Emerald Grove","https://bg3.wiki/wiki/Shortbows"
"Shortbow +1","Uncommon","+1","1d6 + 1","Piercing","0.9","40","Two-Handed; Range: 18 m (60 ft); Dippable","Hamstring Shot","","* Sold by Dammon in the Druid Grove; Derryth Bonecloak in the Myconid Colony","https://bg3.wiki/wiki/Shortbows"
"Bow of the Banshee","Rare","+1","1d6 + 1","Piercing","0.9","190","Two-Handed; Range: 18 m (60 ft); Dippable","Hamstring Shot","Blood-Curdling Emission; On a hit, possibly inflict Frightened ( DC 12 Wisdom Saving Throw). Gain a +1d4 bonus to attack and damage against Frightened creatures.","Carried by Corsair Greymon while the party first travel on Gekh's raft across the lake to Grymforge; Sold by Corsair Greymon at Grymforge at X: -120 Y: -95 after the party sail there for the first time","https://bg3.wiki/wiki/Shortbows"
"Darkfire Shortbow","Rare","+2","1d6 + 2","Piercing","0.9","480","Two-Handed; Range: 18 m (60 ft); Dippable","Hamstring Shot","Resistance to Fire damage.; Resistance to Cold damage.; Haste; Cast as a level 3 spell ( Recharge: Long rest.)","Last Light Inn X: -33 Y: 164: Sold by Dammon in Act Two","https://bg3.wiki/wiki/Shortbows"
"Least Expected","Rare","+2","1d6 + 2","Piercing","0.9","190","Two-Handed; Range: 18 m (60 ft); Dippable","Hamstring Shot","Darkveil Precision; While obscured in shadow, the wielder has a +1d4 bonus to their ranged weapon attacks.; Blinding Shot; Weave the lost magic of the children of Deep Duerra into your shot and possibly Blind your target. ( Recharge: Short rest.)","Gauntlet of Shar X: -730 Y: -800: In a gilded chest beyond the locked puzzle door","https://bg3.wiki/wiki/Shortbows"
"Vicious Shortbow","Rare","+2","1d6 + 2","Piercing","0.9","190","Two-Handed; Range: 18 m (60 ft); Dippable","Hamstring Shot","Dolor Amarus; When you land a Critical Hit with a weapon or unarmed attack,[See: Bugs] it deals an additional 7 damage.","Murder Tribunal X: -1263 Y: 511: Sold by Echo of Abazigal","https://bg3.wiki/wiki/Shortbows"
"Blightbringer","Very Rare","+1","1d6 + 1","Piercing","0.9","480","Two-Handed; Range: 18 m (60 ft); Dippable","Hamstring Shot","Blightbringer; Attacking Gnomes or Dwarves with this weapon receives a 1d4 bonus to Attack and Damage rolls.; Prey Decelerator; When this weapon lands a Critical Hit, it also Slows the target creature.","Danthelon's Dancing Axe X: -10 Y: 143: Sold by Entharl Danthelon in Wyrm's Crossing","https://bg3.wiki/wiki/Shortbows"
