"rarity","item","armour_type","proficiency","weight_kg","price_gp","special","where_to_find","source_url"
"Common","Drow Leather Gloves","Non-Armour","None","0.5","20","","Shattered Sanctum X: 335 Y: 43: Worn by Minthara","https://bg3.wiki/wiki/Handwear"
"Common","Druidic Bracers","Non-Armour","None","0.5","20","","Worn by Halsin","https://bg3.wiki/wiki/Handwear"
"Common","Gloves (Equipment)","Non-Armour","None","0.5","20","","In the Morgue area of the Mind Flayer Colony in a pile of discarded armour and clothing","https://bg3.wiki/wiki/Handwear"
"Common","Gloves (Equipment)","Non-Armour","None","0.5","20","","In the Morgue area of the Mind Flayer Colony in a pile of discarded armour and clothing","https://bg3.wiki/wiki/Handwear"
"Common","Leather Bracers","Non-Armour","None","0.5","20","","Emerald Grove X: 201 Y: 539: On a bench next to the training children at The Hollow","https://bg3.wiki/wiki/Handwear"
"Common","Leather Gloves","Non-Armour","None","0.5","20","","Worn by many characters throughout the game; Variant Leather Gloves are a common pair of Gloves unique to Jaheira.; These supple gloves provide both flexibility and protection.","https://bg3.wiki/wiki/Handwear"
"Common","Leather Gloves","Non-Armour","None","0.5","20","","Worn by many characters throughout the game; Variant Leather Gloves are a common pair of Gloves unique to Jaheira.; These supple gloves provide both flexibility and protection.","https://bg3.wiki/wiki/Handwear"
"Common","Leather Gloves","Non-Armour","None","0.5","20","","Worn by many characters throughout the game; Variant Leather Gloves are a common pair of Gloves unique to Jaheira.; These supple gloves provide both flexibility and protection.","https://bg3.wiki/wiki/Handwear"
"Common","Leather Gloves","Non-Armour","None","0.5","20","","Worn by many characters throughout the game; Variant Leather Gloves are a common pair of Gloves unique to Jaheira.; These supple gloves provide both flexibility and protection.","https://bg3.wiki/wiki/Handwear"
"Common","Leather Gloves","Non-Armour","None","0.5","20","","Worn by many characters throughout the game; Variant Leather Gloves are a common pair of Gloves unique to Jaheira.; These supple gloves provide both flexibility and protection.","https://bg3.wiki/wiki/Handwear"
"Common","Leather Gloves","Non-Armour","None","0.5","20","","Worn by many characters throughout the game; Variant Leather Gloves are a common pair of Gloves unique to Jaheira.; These supple gloves provide both flexibility and protection.","https://bg3.wiki/wiki/Handwear"
"Common","Leather Gloves","Non-Armour","None","0.5","20","","Worn by many characters throughout the game; Variant Leather Gloves are a common pair of Gloves unique to Jaheira.; These supple gloves provide both flexibility and protection.","https://bg3.wiki/wiki/Handwear"
"Common","Leather Gloves","Non-Armour","None","0.5","20","","Worn by many characters throughout the game; Variant Leather Gloves are a common pair of Gloves unique to Jaheira.; These supple gloves provide both flexibility and protection.","https://bg3.wiki/wiki/Handwear"
"Common","Nettie's Gloves","Non-Armour","None","0.5","20","","In the Druids' Chambers at X: -433 Y: 5; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Handwear"
"Uncommon","Braindrain Gloves","Non-Armour","None","0.5","90","Mental Interference; When you deal Psychic damage, you also inflict Mental Fatigue for 2 turns.","Mind Flayer Colony X: 748 Y: -141: On a skeleton in the Necrotic Laboratory, next to the Blade of Oppressed Souls","https://bg3.wiki/wiki/Handwear"
"Uncommon","Dark Justiciar Gauntlets (Uncommon)","Non-Armour","None","0.5","110","Strength Saving Throws +1; Umbral Attack; Your weapon attacks deal an additional 1d4 Necrotic damage.","Gauntlet of Shar X: -660 Y: -760: on a pile of boxes, near Yurgir","https://bg3.wiki/wiki/Handwear"
