"item","rarity","enchantment","damage","damage_type","weight_kg","price_gp","shared_properties","shared_action","special","where_to_find","source_url"
"Greataxe","Common","","1d12","Slashing","3.15","65","Two-Handed; Melee: 1.5 m (5 ft); Dippable","Cleave","","Starting weapon for the Barbarians; Variant Greataxe is a common variant of the Greataxes family of weapons.; A relatively austere greataxe of rough-hewn wood and sharpened iron.","https://bg3.wiki/wiki/Greataxes"
"Greataxe","Common","","1d12","Slashing","3.15","65","Two-Handed; Melee: 1.5 m (5 ft); Dippable","Cleave","","Starting weapon for the Barbarians; Variant Greataxe is a common variant of the Greataxes family of weapons.; A relatively austere greataxe of rough-hewn wood and sharpened iron.","https://bg3.wiki/wiki/Greataxes"
"Exterminator's Axe","Uncommon","","1d12","Slashing","3.15","130","Two-Handed; Melee: 1.5 m (5 ft); Dippable","Cleave","Scourge of Pests; Deals an additional 1d6 Fire damage to Plants, Myconids[See: Bugs], and Small creatures.","Decrepit Village X: 14 Y: -196: Carried by Gekh Coal","https://bg3.wiki/wiki/Greataxes"
"Greataxe +1","Uncommon","+1","1d12 + 1","Slashing","3.15","85","Two-Handed; Melee: 1.5 m (5 ft); Dippable","Cleave","","Sold by any trader using the magic melee table; The Risen Road: On a rack in the hidden room in the cellar of the Risen Road Toll House; Fraygo's Flophouse: Carried by Adventurer Rosanna X: -8 Y: 76","https://bg3.wiki/wiki/Greataxes"
"The Undead Bane","Uncommon","+1","1d12 + 1","Slashing","3.15","130","Two-Handed; Melee: 1.5 m (5 ft); Dippable","Cleave","Slay the Wicked; This weapon deals an additional 1d6 Slashing damage against Fiends and Undead.; Profane Scourge; Strike with subjugating fury, adding your proficiency bonus to the damage roll. If you hit a fiend or undead creature, deal an additional 2d6 SlashingDRS damage and possibly Bane it. ( Recharge: Short rest.)","Gur Camp X: 100 Y: -17: Carried by Ulma; Cazador's Dungeon X: -1925 Y: 836: Carried by Ulma if she approaches the party after dealing with Cazador Szarr","https://bg3.wiki/wiki/Greataxes"
"Very Heavy Greataxe","Uncommon","+1","1d12 + 1","Slashing","9","130","Two-Handed; Melee: 1.5 m (5 ft); Dippable","Cleave","Gargantuan Cleave; Swing your weapon with all your might. You can attack multiple targets, dealing bonus 1d6 SlashingDRS damage, but become Off Balanced. ( Recharge: Short rest.)","Blighted Village X: 10 Y: 420: Carried by Fezzerk in front of the windmill in Act One; Moonrise Towers X: -152 Y: -191: Carried by Fezzerk on the main floor","https://bg3.wiki/wiki/Greataxes"
"Blooded Greataxe","Rare","+1","1d12 + 1","Slashing","3.15","380","Two-Handed; Melee: 1.5 m (5 ft); Dippable","Cleave","Relentless Revenge; When the wielder has 50% hit points or less, they deal an additional 1d4 Slashing damage.","Shattered Sanctum X: 272 Y: -31: Sold by Roah Moonglow, to the left beyond the sanctum entrance","https://bg3.wiki/wiki/Greataxes"
"Defender Greataxe","Rare","+2","1d12 + 2","Slashing","3.15","380","Two-Handed; Melee: 1.5 m (5 ft); Dippable","Cleave","Defensive Attack; When making your first attack of the round, you can reduce this weapon's enchantment by 1 to increase your Armour Class and Saving throw bonus by 1.","Last Light Inn X: -31 Y: 130: Sold by Quartermaster Talli near the Last Light Inn waypoint","https://bg3.wiki/wiki/Greataxes"
"Greataxe +2","Rare","+2","1d12 + 2","Slashing","3.15","190","Two-Handed; Melee: 1.5 m (5 ft); Dippable","Cleave","","In the Counting House Safe nº2 in The Counting House at X: -962 Y: 764; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Greataxes"
"Hellfire Greataxe","Very Rare","+2","1d12 + 2; 1d6","Slashing; Fire","3.15","960","Two-Handed; Melee: 1.5 m (5 ft); Dippable","Cleave","Thermodynamo; Whenever you deal damage with this weapon, you gain 2 turns of Heat.; Hellflame Cleave; Spew hellish flames and strike your foes. ( Recharge: Short rest.)","Sorcerous Vault X: 366 Y: 941: In a gilded chest in the ""Illusion"" section","https://bg3.wiki/wiki/Greataxes"
"Sethan","Very Rare","+2","1d12 + 2","Slashing","3.15","960","Two-Handed; Melee: 1.5 m (5 ft); Dippable","Cleave","Sethan: Spiritual Greataxe; Summon a spiritual twin of Sethan in a point you can see, dealing 3d8 + 1 + Spellcasting modifierForce damage on a hit. ( Recharge: Long rest.); Sethan: Reduce; Make a creature smaller. Its weapons deal 1d4 less damage (minimum of 1 damage). It has Disadvantage on Strength checks and Strength saving throws. ( Recharge: Long rest.)","Rivington X: 43 Y: -101: Sold by Ferg Drogher near the Requisitioned Barn","https://bg3.wiki/wiki/Greataxes"
