"item","rarity","enchantment","damage","damage_type","weight_kg","price_gp","shared_properties","shared_action","special","where_to_find","source_url"
"Crude Mace","Common","","1d6","Bludgeoning","1.8","30","One-Handed; Melee: 1.5 m (5 ft); Dippable","Concussive Smash","","Goblin Camp: Sold by Grat and also found carried by goblins throughout Act One","https://bg3.wiki/wiki/Maces"
"Mace","Common","","1d6","Bludgeoning","1.8","30","One-Handed; Melee: 1.5 m (5 ft); Dippable","Concussive Smash","","Starting equipment for Clerics; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Maces"
"Rusty Mace","Common","","1d6","Bludgeoning","1.8","3","One-Handed; Melee: 1.5 m (5 ft); Dippable","Concussive Smash","","In a buried casket next to a tombstone outside Rosymorn Monastery; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Maces"
"Ceremonial Mace","Uncommon","+1","1d6 + 1","Bludgeoning","1.8","40","One-Handed; Melee: 1.5 m (5 ft); Dippable","Concussive Smash","","Rosymorn Monastery X: 45 Y: 37: Carried by a random Kobold Looter in the Firewine storage room","https://bg3.wiki/wiki/Maces"
"Infernal Mace (Uncommon)","Uncommon","+1","1d6 + 1; 3","Bludgeoning; Poison","1.8","65","One-Handed; Melee: 1.5 m (5 ft); Dippable","Concussive Smash","Infernal Weapon; On a hit, this weapon deals an additional 3 Poison damage and can possibly Poison its target.","Felogyr's Fireworks: Carried by Black Gauntlets of Bane Uva as well as Fists of Bane Hyrriet, and Volgu Drak; Wyrm's Rock Fortress: Carried by Black Gauntlets of Bane Aischa, Greyward, Ignur, and Mohlen","https://bg3.wiki/wiki/Maces"
"Loviatar's Scourge","Uncommon","","1d6; 1d6","Bludgeoning; Necrotic","1.8","370","One-Handed; Melee: 1.5 m (5 ft); Dippable","Concussive Smash","Willing Whip; Grants Resistance to Necrotic damage. Deals an additional 1d6 NecroticDRS damage to nearby targets, including the wielder.","Shattered Sanctum X: 338 Y: -21: Carried by Abdirak","https://bg3.wiki/wiki/Maces"
"Mace +1","Uncommon","+1","1d6 + 1","Bludgeoning","1.8","40","One-Handed; Melee: 1.5 m (5 ft); Dippable","Concussive Smash","","Sold by any trader using the magic melee table","https://bg3.wiki/wiki/Maces"
"Xyanyde","Uncommon","+1","1d6 + 1","Bludgeoning","1.8","330","One-Handed; Melee: 1.5 m (5 ft); Dippable","Concussive Smash","Xyanyde's Fire; Once per short rest, you can encase a target in Faerie Fire for 2 turns if you miss an attack against it.","Shattered Sanctum X: 335 Y: 43: Carried by Minthara in Act One","https://bg3.wiki/wiki/Maces"
"Adamantine Mace","Rare","+1","1d6 + 1","Bludgeoning","1.9","190","One-Handed; Melee: 1.5 m (5 ft); Dippable","Concussive Smash","Diamondsbane; If an adamantine weapon hits an object, the hit is always critical.; Lethal Weapon; This weapon ignores resistance to Bludgeoning damage.","Adamantine Forge (location) X: -558 Y: 230: Forged with a Mace Mould and Mithral Ore","https://bg3.wiki/wiki/Maces"
"Infernal Mace","Rare","+2","1d6 + 2; 3","Bludgeoning; Poison","1.8","190","One-Handed; Melee: 1.5 m (5 ft); Dippable","Concussive Smash","Infernal Weapon; On a hit, this weapon deals an additional 3 Poison damage and can possibly Poison its target.","Steel Watch Foundry: Carried by Black Gauntlets of Bane Borri Paver, Hahns Rives, Ifran, Indora Ralston, Tamia Holzt","https://bg3.wiki/wiki/Maces"
