"rarity","item","proficiency","weight_kg","price_gp","special","where_to_find","source_url"
"Common","Cape of the Red Prince","None","0.5","1","","In the Peculiar Clothing Chest in the Traveller's Chest at the Campsite","https://bg3.wiki/wiki/Cloaks"
"Common","Cloak","None","0.5","20","","Shadow-Cursed Lands X: 57 Y: 134: Worn by Harper Lassandra","https://bg3.wiki/wiki/Cloaks"
"Common","Cloak","None","0.5","20","","Shadow-Cursed Lands X: 57 Y: 134: Worn by Harper Lassandra","https://bg3.wiki/wiki/Cloaks"
"Common","Cloak","None","0.5","20","","Shadow-Cursed Lands X: 57 Y: 134: Worn by Harper Lassandra","https://bg3.wiki/wiki/Cloaks"
"Uncommon","Cindermoth Cloak","None","0.5","70","Flaming Shroud; A creature that damages the wearer within 2 m / 7 ft receives Burning.","Lower City Sewers X: -123 Y: 834: Worn by Aelis Siryasius in the area filled with greasy surfaces","https://bg3.wiki/wiki/Cloaks"
"Uncommon","Cloak of Cunning Brume","None","0.5","70","Cunning Brume; When the wearer Disengages, they also create a foggy cloud with 2 m / 7 ft radius that lasts for 1 turn.","Last Light Inn X: -56 Y: 141: Sold by Mattis","https://bg3.wiki/wiki/Cloaks"
"Uncommon","Cloak of Elemental Absorption","None","0.5","115","Absorb Elements; Absorb elemental damage once per Short Rest. Take half damage from the next elemental attack targeting you, and deal an additional 1d6 of that element type on your next attack. ( Recharge: Short rest.)","Moonrise Towers X: -170 Y: -171: In an opulent chest in Ketheric Thorm's chambers on the second floor","https://bg3.wiki/wiki/Cloaks"
"Uncommon","Cloak of Protection","None","0.5","200","Armour Class +1; Saving Throw +1","Last Light Inn X: -31 Y: 130: Sold by Quartermaster Talli near the Last Light Inn waypoint","https://bg3.wiki/wiki/Cloaks"
"Uncommon","Fleshmelter Cloak","None","0.5","70","Caustic Reprisal; Whenever a creature deals melee damage to the wearer, that creature takes 1d4 Acid Damage.","House of Healing Morgue X: 29 Y: -930: In a gilded chest above the pit","https://bg3.wiki/wiki/Cloaks"
"Uncommon","Reverse Rain Cloak","None","0.5","1","Wet","Circus of the Last Days X: -68 Y: -73: Given as a consolation prize by Akabi after failing to win the jackpot at the Wheel of Fortune","https://bg3.wiki/wiki/Cloaks"
"Uncommon","Thunderskin Cloak","None","0.5","75","Dazing Echo; When a creature with Reverberation deals damage to the wearer, the creature needs to make a DC 13 Constitution Saving Throw or become Dazed.","Moonrise Towers X: -128 Y: -193: Sold by Araj Oblodra on the main floor; Lower City X: -92 Y: -78: Sold by Araj Oblodra in Crimson Draughts if not acquired from her in Act Two","https://bg3.wiki/wiki/Cloaks"
"Uncommon","Vivacious Cloak","None","0.5","70","Arcane Vivaciousness; You gain 8 temporary hit points after casting a spell while in melee.","Grand Mausoleum X: -257 Y: -886: In a locked traveller's chest in the south-east corner","https://bg3.wiki/wiki/Cloaks"
"Rare","Cloak of Displacement","None","0.5","190","Displacement; At the beginning of the wearer's turn, the cloak activates, granting enemies Disadvantage on Attack Rolls that target the wearer. This effect lasts until the wearer takes damage.","Danthelon's Dancing Axe X: -10 Y: 143: Sold by Entharl Danthelon in Wyrm's Crossing","https://bg3.wiki/wiki/Cloaks"
"Rare","Derivation Cloak","None","0.5","190","Deadly Derivation; When you Poison a foe, heal yourself for 1d4 Hit Points.","Moonrise Towers X: -132 Y: -175: In a heavy chest in Balthazar's chambers on the First Floor","https://bg3.wiki/wiki/Cloaks"
"Rare","The Deathstalker Mantle","None","0.5","190","The Shadow Itself; Once per turn when you kill an enemy, shroud yourself in primeval darkness to become Invisible for 2 turns.","Campsite (Act One): given to The Dark Urge Origin by Sceleritas Fel","https://bg3.wiki/wiki/Cloaks"
"Rare","Wavemother's Cloak","None","0.5","190","Damp Aegis; During Combat, once per turn, the cloak grants the wearer Water Layer Protection[See: Bugs] until the wearer takes damage.","Water Queen's House X: -248 Y: -249: In an opulent chest behind Allandra Grey's desk on the upper floor","https://bg3.wiki/wiki/Cloaks"
"Very Rare","Cloak of the Weave","None","0.5","300","Absorb Elements; Absorb elemental damage once per Short Rest. Take half damage from the next elemental attack targeting you, and deal an additional 1d6 of that element type on your next attack. ( Recharge: Short rest.); Arcane Enchantment; You gain a +1 bonus to Spell Save DC and Spell Attack rolls.","Devil's Fee X: -38 Y: 17: Sold by Helsik once her special stock is unlocked","https://bg3.wiki/wiki/Cloaks"
"Very Rare","Mantle of the Holy Warrior","None","0.5","630","Crusader's Mantle; Cast as a level 3 spell ( Recharge: Short rest.)","Stormshore Tabernacle X: 107 Y: -22: Sold by Vicar Humbletoes","https://bg3.wiki/wiki/Cloaks"
"Very Rare","Nymph Cloak","None","0.5","360","Dominate Person; Cast as a level 5 spell ( Recharge: Long rest.)","The Counting House X: -711 Y: 864: In the High Security Vault nº1; Rivington X: 44 Y: -97: Sold by Ferg Drogher near the Requisitioned Barn","https://bg3.wiki/wiki/Cloaks"
"Very Rare","Shade-Slayer Cloak","None","0.5","360","Stealthy Critical; While Hiding, the number you need to roll a Critical Hit while attacking is reduced by 1. This effect can stack.","Guildhall X: -17 Y: 755: Sold by Sticky Dondo","https://bg3.wiki/wiki/Cloaks"
