"item","rarity","enchantment","damage","damage_type","weight_kg","price_gp","shared_properties","shared_action","special","where_to_find","source_url"
"Battle-Worn Blade","Common","","1d8","Slashing","1.35","40","1d10 (1~10) + Strength modifier Slashing; Versatile; Melee: 1.5 m (5 ft); Dippable","Lacerate","","Secluded Chamber X: -55 Y: 65: In Zevlor's Wooden Chest, which can be opened with Zevlor's Key or Sleight of Hand Check; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Longswords"
"Bonesaw","Common","","1d8","Slashing","1.35","40","1d10 (1~10) + Strength modifier Slashing; Versatile; Melee: 1.5 m (5 ft); Dippable","Lacerate","","In the House of Healing","https://bg3.wiki/wiki/Longswords"
"Githyanki Longsword","Common","","1d8","Slashing","1.35","40","1d10 (1~10) + Strength modifier Slashing; Versatile; Melee: 1.5 m (5 ft); Dippable","Lacerate","","Crèche Y'llek: On weapon racks and equipped by numerous Githyanki; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Longswords"
"King's Knife","Common","","1d8","Slashing","1.35","40","1d10 (1~10) + Strength modifier Slashing; Versatile; Melee: 1.5 m (5 ft); Dippable","Lacerate","","Grymforge X: -643 Y: 411: Carried by Stone Guard Orgarth","https://bg3.wiki/wiki/Longswords"
"Rusty Longsword","Common","","1d8","Slashing","1.35","4","1d10 (1~10) + Strength modifier Slashing; Versatile; Melee: 1.5 m (5 ft); Dippable","Lacerate","","Just below the Eagle's Nest in the Rosymorn Monastery; [[Category:Sources of Slashing damage]; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Longswords"
"Longsword","Common","","1d8","Slashing","1.35","40","1d10 (1~10) + Strength modifier Slashing; Versatile; Melee: 1.5 m (5 ft); Dippable","Lacerate","","Starting equipment for Fighters; Variant Longsword is a mundane, nonmagical variant of the Longswords family of weapons. It is a martial melee weapon that can be wielded in one hand, or with both hands for extra damage.; A common sword, passed between hands both fresh and battle-scarred.","https://bg3.wiki/wiki/Longswords"
"Longsword","Common","","1d8","Slashing","1.35","40","1d10 (1~10) + Strength modifier Slashing; Versatile; Melee: 1.5 m (5 ft); Dippable","Lacerate","","Starting equipment for Fighters; Variant Longsword is a mundane, nonmagical variant of the Longswords family of weapons. It is a martial melee weapon that can be wielded in one hand, or with both hands for extra damage.; A common sword, passed between hands both fresh and battle-scarred.","https://bg3.wiki/wiki/Longswords"
"Bonesaw (+1)","Uncommon","+1","1d8 + 1","Slashing","1.35","85","1d10 (1~10) + Strength modifier Slashing; Versatile; Melee: 1.5 m (5 ft); Dippable","Lacerate","Incise Ligaments; Grind your saw's blackest teeth into an enemy's calves and possibly Slow them. ( Recharge: Short rest.)","House of Healing X: -201 Y: 50: Carried by Sister Hunna","https://bg3.wiki/wiki/Longswords"
"Ceremonial Longsword","Uncommon","+1","1d8 + 1","Slashing","1.35","55","1d10 (1~10) + Strength modifier Slashing; Versatile; Melee: 1.5 m (5 ft); Dippable","Lacerate","","Rosymorn Monastery X: 74 Y: 74: On the north-western pedestal in the Dawnmasters Memorial","https://bg3.wiki/wiki/Longswords"
"Githyanki Longsword (+1)","Uncommon","+1","1d8 + 1","Slashing","1.35","55","1d10 (1~10) + Strength modifier Slashing; Versatile; Melee: 1.5 m (5 ft); Dippable","Lacerate","","Mountain Pass: Carried by Gish For'reth, member of the githyanki patrol X: -143 Y: 562; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Longswords"
"Katana","Uncommon","+1","1d8 + 1","Slashing","1.35","55","1d10 (1~10) + Strength modifier Slashing; Versatile; Melee: 1.5 m (5 ft); Dippable","Lacerate","","Golbraith's Cellar X: -2343 Y: 811: Lying on a table in the basement of Golbraith's Cellar","https://bg3.wiki/wiki/Longswords"
"Longsword +1","Uncommon","+1","1d8 + 1","Slashing","1.35","55","1d10 (1~10) + Strength modifier Slashing; Versatile; Melee: 1.5 m (5 ft); Dippable","Lacerate","","Sold by any trader using the magic melee table","https://bg3.wiki/wiki/Longswords"
"Adamantine Longsword","Rare","+1","1d8 + 1","Slashing","1.35","100","1d10 (1~10) + Strength modifier Slashing; Versatile; Melee: 1.5 m (5 ft); Dippable","Lacerate","Diamondsbane; If an adamantine weapon hits an object, the hit is always critical.; Lethal Weapon; This weapon ignores Resistance to Slashing damage.","Adamantine Forge (location) X: -558 Y: 230: Forged with a Longsword Mould and Mithral Ore","https://bg3.wiki/wiki/Longswords"
"Blackguard's Sword","Rare","+2","1d8 + 2; 1d4","Slashing; Necrotic","1.35","250","1d10 (1~10) + Strength modifier Slashing; Versatile; Melee: 1.5 m (5 ft); Dippable","Lacerate","Dazing Smite; On a hit infused with one of your Smites, the target must succeed a Constitution saving throw or become Dazed.","Murder Tribunal X: -1293 Y: 503: Carried by the death knight That Which Guards","https://bg3.wiki/wiki/Longswords"
"Blade of Oppressed Souls","Rare","+1","1d8 + 1; 1d4","Slashing; Psychic","1.35","250","1d10 (1~10) + Strength modifier Slashing; Versatile; Melee: 1.5 m (5 ft); Dippable","Lacerate","Crowning Strike; Unleash the wails of the dead that fell to your blade, and possibly instil Crown of Madness in the target. ( Recharge: Short rest.)","Mind Flayer Colony X: 747 Y: -138: In an area unlocked by the Necrotic Laboratory puzzle; High Hall X: 235 Y: 44: On a table of goods, owned by Koll; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Longswords"
"Cruel Sting","Rare","+1","1d8 + 1","Slashing","1.35","250","1d10 (1~10) + Strength modifier Slashing; Versatile; Melee: 1.5 m (5 ft); Dippable","Lacerate","Sting The Helpless; A Drow wielding this weapon deals an additional 1d4 Poison against Restrained targets.; Ensnaring Strands; Cast as a level 1 spell ( Recharge: Short rest.)","Ruined Battlefield X: 0 Y: -15: Carried by Kar'niss","https://bg3.wiki/wiki/Longswords"
