"rarity","item","price_gp","special","where_to_find","source_url"
"Common","Amulet of the Absolute","20","","Gauntlet of Shar X: -653 Y: -754: On the dismembered remains of a Zealot of the Absolute in a room beneath Yurgir's bedroom; Mind Flayer Colony X: 874 Y: -16: On Ketheric Thorm's desk; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Amulets"
"Common","Barnabus' Collar","25","","Moonrise Towers X: -106 Y: -192: Worn by 'Barnabus'; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Amulets"
"Common","Bronze Necklace","20","","Random loot from chests and characters; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Amulets"
"Common","Bronze Pendant","20","","The Glitter Gala X: -174 Y: -62: On a display table; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Amulets"
"Common","Burnished Necklace","20","","Aboard the Nautiloid in the Prologue X: 5 Y: -363; Random loot throughout the game; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Amulets"
"Common","Destroyed Kill Collar","65","","Worn by several Gondian workers inside the Steel Watch Foundry; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Amulets"
"Common","Dog Collar","20","","In the grave of Myrna on the cliff overlooking the Arcane Tower to the south of the Underdark - Sussur Tree Waypoint at X: -41 Y: -209","https://bg3.wiki/wiki/Amulets"
"Common","Dog Collar","20","","In the grave of Myrna on the cliff overlooking the Arcane Tower to the south of the Underdark - Sussur Tree Waypoint at X: -41 Y: -209","https://bg3.wiki/wiki/Amulets"
"Common","Gold Necklace","35","","Random loot from chests and characters; Variant A Gold Necklace is a common Amulet. Primarily of use for barter or sale to Traders.; Tiny, ageless flower petals fill the amber stones of this necklace.","https://bg3.wiki/wiki/Amulets"
"Common","Gold Necklace","35","","Random loot from chests and characters; Variant A Gold Necklace is a common Amulet. Primarily of use for barter or sale to Traders.; Tiny, ageless flower petals fill the amber stones of this necklace.","https://bg3.wiki/wiki/Amulets"
"Common","Gold Pendant","35","","","https://bg3.wiki/wiki/Amulets"
"Common","Gold Pendant","35","","","https://bg3.wiki/wiki/Amulets"
"Common","Gold Pendant","35","","","https://bg3.wiki/wiki/Amulets"
"Common","Gold Pendant","35","","","https://bg3.wiki/wiki/Amulets"
"Common","Gordis' Dog Collar","20","","Durinbold Mausoleum X: 1207 Y: 797: Carried by Houndmaster Pol","https://bg3.wiki/wiki/Amulets"
"Common","Pearl Necklace","35","","The Counting House: In high security vault nº4; Variant A Pearl Necklace is a common Amulet. Primarily of use for barter or sale to Traders.; Dozens of tiny pearls adorn this necklace, knotted in place by clever gnomish hands.","https://bg3.wiki/wiki/Amulets"
"Common","Pearl Necklace","35","","The Counting House: In high security vault nº4; Variant A Pearl Necklace is a common Amulet. Primarily of use for barter or sale to Traders.; Dozens of tiny pearls adorn this necklace, knotted in place by clever gnomish hands.","https://bg3.wiki/wiki/Amulets"
