"item","rarity","enchantment","damage","damage_type","weight_kg","price_gp","shared_properties","shared_action","special","where_to_find","source_url"
"Greatsword","Common","","2d6","Slashing","2.7","65","Two-Handed; Melee: 1.5 m (5 ft); Dippable","Pommel Strike","","Throughout the game in smithies, armories, and on battlefields; Variant Greatsword is a common variant of the Greatswords family of weapons.; Innumerable whetstones have rendered this sword's blade nearly paper-thin.","https://bg3.wiki/wiki/Greatswords"
"Greatsword","Common","","2d6","Slashing","2.7","65","Two-Handed; Melee: 1.5 m (5 ft); Dippable","Pommel Strike","","Throughout the game in smithies, armories, and on battlefields; Variant Greatsword is a common variant of the Greatswords family of weapons.; Innumerable whetstones have rendered this sword's blade nearly paper-thin.","https://bg3.wiki/wiki/Greatswords"
"Greatsword +1 (Common)","Common","","2d6","Slashing","2.7","65","Two-Handed; Melee: 1.5 m (5 ft); Dippable","Pommel Strike","","Sorcerous Vault X: 324 Y: 1005: On a weapon rack in the Karsus Vault in Ramazith's Tower","https://bg3.wiki/wiki/Greatswords"
"Pactbound Greatsword","Common","","2d6","Slashing","2.7","0","Two-Handed; Melee: 1.5 m (5 ft); Dippable","Pommel Strike","","Summoned via Warlock's Pact of the Blade: Greatsword; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Greatswords"
"Reinforced Greatsword","Common","","2d6","Slashing","2.7","65","Two-Handed; Melee: 1.5 m (5 ft); Dippable","Pommel Strike","","In the swamp north of Riverside Teahouse, Sunlit Wetlands at X: -4 Y: 277","https://bg3.wiki/wiki/Greatswords"
"Rusty Greatsword","Common","","2d6","Slashing","2.7","6","Two-Handed; Melee: 1.5 m (5 ft); Dippable","Pommel Strike","","Carried by the Hollow Armour in the noxious pit in the House of Healing Morgue at X: 41 Y: -929.; [[Category:Sources of Slashing damage]; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Greatswords"
"Watcher Greatsword","Common","","3d12","Slashing","100","65","Two-Handed; Melee: 1.5 m (5 ft); Dippable","Pommel Strike","Not usable by humanoids.","Steel Watch Foundry X: -288 Y: -167: Leaning against the southern wall; Carried by Steel Watchers","https://bg3.wiki/wiki/Greatswords"
"Everburn Blade","Uncommon","","2d6; 1d4","Slashing; Fire","2.7","130","Two-Handed; Melee: 1.5 m (5 ft); Dippable","Pommel Strike","","Nautiloid X: -53 Y: -391: Carried by Commander Zhalk at the helm of the Nautiloid during the Prologue.","https://bg3.wiki/wiki/Greatswords"
"Githyanki Greatsword","Uncommon","+1","2d6 + 1","Slashing","2.7","85","Two-Handed; Melee: 1.5 m (5 ft); Dippable","Pommel Strike","","Carried by multiple githyanki in the Crèche Y'llek; Carried by Shadow-Cursed Githyanki Warriors at Last Light Inn","https://bg3.wiki/wiki/Greatswords"
"Githyanki Greatsword (Psionic)","Uncommon","+1","2d6 + 1","Slashing","2.7","130","Two-Handed; Melee: 1.5 m (5 ft); Dippable","Pommel Strike","Githborn Psionic Weapon; When wielded by a githyanki this weapon deals an additional 1d4 Psychic damage.","Mountain Pass X: -144 Y: 565: Carried by Sarth Baretha, leader of the githyanki patrol","https://bg3.wiki/wiki/Greatswords"
