"item","rarity","enchantment","damage","damage_type","weight_kg","price_gp","shared_properties","shared_action","special","where_to_find","source_url"
"Artificial Leech","Common","","1d4 + 1","Piercing","0.45","16","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Thrown; Dippable","Piercing Strike","","In the House of Healing in Act Two; In Araj Oblodra's basement at Crimson Draughts in Act Three","https://bg3.wiki/wiki/Daggers"
"Needle of the Outlaw Rogue","Common","","1d4","Piercing","0.45","1","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Thrown; Dippable","Piercing Strike","","In the Peculiar Clothing Chest in the Traveller's Chest at the Campsite","https://bg3.wiki/wiki/Daggers"
"Polished Dagger","Common","","1d4","Piercing","0.45","30","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Thrown; Dippable","Piercing Strike","","Secluded Cove X: 332 Y: 526: East of the Emerald Grove; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Daggers"
"Rusted Blade","Common","","1d4","Piercing","0.45","16","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Thrown; Dippable","Piercing Strike","","Whispering Depths X: -490 Y: -364: On the ground next to a skeleton in the room with the Ettercaps; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Daggers"
"Rusty Dagger","Common","","1d4","Piercing","0.45","2","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Thrown; Dippable","Piercing Strike","","Rosymorn Monastery: On the level just below the Eagle's Nest; Ruined Battlefield X: 73 Y: 140: In the Shadow-Cursed Lands; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Daggers"
"Scalpel","Common","","1d4","Piercing","0.45","16","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Thrown; Dippable","Piercing Strike","","Mortuary X: 1250 Y: 861: Next to a prepared corpse in the cellar; Variant Scalpel is a common variant of the Daggers family of weapons. It is a simple melee weapon wielded in one hand. As a finesse weapon, it can benefit from the wielder's Dexterity and not just their Strength. It's a light weapon that anyone can dual-wield without special training. Its design lends itself well to be thrown at enemies as a projectile.; This dagger's handle is smooth and light, it's jagged blade sharpened into a thin, cruel edge.","https://bg3.wiki/wiki/Daggers"
"Scalpel","Common","","1d4","Piercing","0.45","16","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Thrown; Dippable","Piercing Strike","","Mortuary X: 1250 Y: 861: Next to a prepared corpse in the cellar; Variant Scalpel is a common variant of the Daggers family of weapons. It is a simple melee weapon wielded in one hand. As a finesse weapon, it can benefit from the wielder's Dexterity and not just their Strength. It's a light weapon that anyone can dual-wield without special training. Its design lends itself well to be thrown at enemies as a projectile.; This dagger's handle is smooth and light, it's jagged blade sharpened into a thin, cruel edge.","https://bg3.wiki/wiki/Daggers"
"Syringe","Common","","1d4","Piercing","0.45","16","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Thrown; Dippable","Piercing Strike","","House of Healing: Carried by an undead nurse","https://bg3.wiki/wiki/Daggers"
"Dagger","Common","","1d4","Piercing","0.45","16","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Thrown; Dippable","Piercing Strike","","Starting equipment for Warlocks; Variant Dagger is a mundane, nonmagical variant of the Daggers family of weapons. It is a simple melee weapon wielded in one hand. As a finesse weapon, it can benefit from the wielder's Dexterity and not just their Strength. It's a light weapon that anyone can dual-wield without special training. Its design lends itself well to be thrown at enemies as a projectile.; A rogue's favourite toy.","https://bg3.wiki/wiki/Daggers"
"Dagger","Common","","1d4","Piercing","0.45","16","One-Handed; Melee: 1.5 m (5 ft); Finesse; Light; Thrown; Dippable","Piercing Strike","","Starting equipment for Warlocks; Variant Dagger is a mundane, nonmagical variant of the Daggers family of weapons. It is a simple melee weapon wielded in one hand. As a finesse weapon, it can benefit from the wielder's Dexterity and not just their Strength. It's a light weapon that anyone can dual-wield without special training. Its design lends itself well to be thrown at enemies as a projectile.; A rogue's favourite toy.","https://bg3.wiki/wiki/Daggers"
