"item","rarity","enchantment","damage","damage_type","weight_kg","price_gp","shared_properties","shared_action","special","where_to_find","source_url"
"Longbow","Common","","1d8","Piercing","1.1","50","Two-Handed; Range: 18 m (60 ft); Dippable","Hamstring Shot","","","https://bg3.wiki/wiki/Longbows"
"Sahuagin Longbow","Common","","1d8","Piercing","1.1","50","Two-Handed; Range: 18 m (60 ft); Dippable","Hamstring Shot","","Carried by Sahuagin","https://bg3.wiki/wiki/Longbows"
"Hellrider Longbow","Uncommon","+1","1d8 + 1","Piercing","1.1","770","Two-Handed; Range: 18 m (60 ft); Dippable","Hamstring Shot","Heightened Awareness; Gain a +3 bonus to Initiative rolls and Advantage on Perception checks.; Fiendish Fire; Once per turn, a creature hit by this weapon will possibly be afflicted with Faerie Fire.","Rivington X: 43 Y: -101: Sold by Ferg Drogher near the Requisitioned Barn","https://bg3.wiki/wiki/Longbows"
"Longbow +1","Uncommon","+1","1d8 + 1","Piercing","1.1","65","Two-Handed; Range: 18 m (60 ft); Dippable","Hamstring Shot","","Goblin Camp: Sold by Grat the Trader; Shattered Sanctum: Sold by Roah Moonglow; Zhentarim Hideout: Sold by Brem after completing Find the Missing Shipment","https://bg3.wiki/wiki/Longbows"
"Spellthief","Uncommon","","1d8","Piercing","1.1","100","Two-Handed; Range: 18 m (60 ft); Dippable","Hamstring Shot","Arcane Vehemence; Once per Short Rest, you regain a Level 1 spell slot when you land a Critical Hit with the Spellthief.","The Hollow X: 205 Y: 516: Sold by Arron next to the Silvanus statue","https://bg3.wiki/wiki/Longbows"
"Longbow +2","Rare","+2","1d8 + 2","Piercing","1.1","155","Two-Handed; Range: 18 m (60 ft); Dippable","Hamstring Shot","","Carried by The Darkening Hunt in the final fight Atop the Netherbrain if a ranger is in the party; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Longbows"
"The Joltshooter","Rare","","1d8","Piercing","1.1","310","Two-Handed; Range: 18 m (60 ft); Dippable","Hamstring Shot","Electric Blood; When the wielder deals damage using this weapon, they gain 2 Lightning Charges.","Waukeen's Rest X: -63 Y: 600: Rewarded by Counsellor Florrick for rescuing her from the burning inn during the quest Rescue the Grand Duke","https://bg3.wiki/wiki/Longbows"
"Titanstring Bow","Rare","+1","1d8 + 1","Piercing","1.1","310","Two-Handed; Range: 18 m (60 ft); Dippable","Hamstring Shot","Titan Weapon; This weapon deals additional damage equal to your Strength Modifier.; Pushing Attack (Ranged); Pushes your target back 4.5 m (15 ft). ( Recharge: Short rest.)","Zhentarim Basement X: 295 Y: -250: Sold by Brem after completing the quest Find the Missing Shipment; Moonrise Towers X: -164 Y: -167: Sold by Lann Tarv on the main floor, only if Brem's special stock was not unlocked before by completing Find the Missing Shipment","https://bg3.wiki/wiki/Longbows"
"The Dead Shot","Very Rare","+2","1d8 + 2","Piercing","1.1","770","Two-Handed; Range: 18 m (60 ft); Dippable","Hamstring Shot","Improved Critical; The number you need to roll a Critical Hit while attacking is reduced by 1. This effect can stack.; Keen Attack; The wielder doubles their Proficiency Bonus when rolling ranged attacks with this weapon, unless they have Disadvantage.","Stormshore Armoury X: -36 Y: -83: Sold by Fytz the Firecracker, near the Lower City Central Wall waypoint","https://bg3.wiki/wiki/Longbows"
"Gontr Mael","Legendary","+3","1d8 + 3","Piercing","1.1","1000","Two-Handed; Range: 18 m (60 ft); Dippable","Hamstring Shot","Gontr Mael: Glowing; This object shines with a glowing light in a radius of 6 m / 20 ft. Toggle this to douse and rekindle the light.; Promised Victory; On a hit, possibly inflict Guiding Bolt upon the target.; Celestial Haste; Gain Hastened. ( Recharge: Long rest.); Bolt of Celestial Light; Frighten your target with intimidating arrows. After attacking, ranged weapon attacks made by Gontr Mael deal an additional 1d4 Radiant damage. ( Recharge: Short rest.)","Steel Watch Foundry X: -1952 Y: 206: Carried by the Steel Watcher Titan in the Control Centre","https://bg3.wiki/wiki/Longbows"
