"rarity","item","proficiency","weight_kg","price_gp","special","where_to_find","source_url"
"Common","Barbarian Clothes","None","1.8","11","","Starting clothing for a Barbarians","https://bg3.wiki/wiki/Clothing"
"Common","Barbarian Clothes","None","1.8","11","","Starting clothing for a Barbarians","https://bg3.wiki/wiki/Clothing"
"Common","Clothes","None","1.8","11","","Lower City X: -213 Y: -20: Near to a picnic basket on the small ruined dock behind Elerrathin's Home","https://bg3.wiki/wiki/Clothing"
"Common","Monastic Robes","None","1.8","11","","Starting clothing for Monks","https://bg3.wiki/wiki/Clothing"
"Common","Robe","None","1.8","11","","Facemaker's Boutique X: -164 Y: -26: On a shelf; Variant A Robe is a common piece of Clothing.; Crafted with care, this robe will protect you from the elements. It won't do much against a sword's thrust, though.","https://bg3.wiki/wiki/Clothing"
"Common","Robe","None","1.8","11","","Facemaker's Boutique X: -164 Y: -26: On a shelf; Variant A Robe is a common piece of Clothing.; Crafted with care, this robe will protect you from the elements. It won't do much against a sword's thrust, though.","https://bg3.wiki/wiki/Clothing"
"Common","Robe","None","1.8","11","","Facemaker's Boutique X: -164 Y: -26: On a shelf; Variant A Robe is a common piece of Clothing.; Crafted with care, this robe will protect you from the elements. It won't do much against a sword's thrust, though.","https://bg3.wiki/wiki/Clothing"
"Common","Simple Robe","None","1.8","11","","Starting armour for Wizards; Worn by many characters throughout the game","https://bg3.wiki/wiki/Clothing"
"Common","Simple Robe","None","1.8","11","","Starting armour for Wizards; Worn by many characters throughout the game","https://bg3.wiki/wiki/Clothing"
"Common","Sorcerer Robe","None","1.8","11","","Starting clothing for Wild Magic Sorcerers; Sorcerous Sundries X: -14 Y: -72: Sold by Lorroakan's Projection","https://bg3.wiki/wiki/Clothing"
"Common","Sorcerer Robe","None","1.8","11","","Starting clothing for Wild Magic Sorcerers; Sorcerous Sundries X: -14 Y: -72: Sold by Lorroakan's Projection","https://bg3.wiki/wiki/Clothing"
"Common","Sorcerer Robe","None","1.8","11","","Starting clothing for Wild Magic Sorcerers; Sorcerous Sundries X: -14 Y: -72: Sold by Lorroakan's Projection","https://bg3.wiki/wiki/Clothing"
"Uncommon","Armour of Uninhibited Kushigo","None","1.8","250","Kushigo Counter; While Patient Defence is active: the wearer can use their reaction to make an unarmed strike against any attacker that misses.","Grymforge X: -628 Y: 320: Rewarded by Sergeant Thrinn after returning her boots in the quest Find the Missing Boots","https://bg3.wiki/wiki/Clothing"
"Uncommon","Bided Time","None","1.8","250","Time Thoroughly Bided; The wearer gains Arcane Charge whenever they are hit by a melee attack.","House of Healing Morgue X: 46 Y: -1005: In a locked heavy chest in the storage room south of the zombie crypt","https://bg3.wiki/wiki/Clothing"
"Uncommon","Bloodguzzler Garb","None","1.8","250","Grievous Retribution; When an enemy damages the wearer, the wearer gains Wrath for 2 turns.","Underdark: in the Bulette","https://bg3.wiki/wiki/Clothing"
"Uncommon","Cloth Armour","None","1.8","250","Grievous Retribution; When an enemy damages the wearer, the wearer gains Wrath for 2 turns.","Heapside Prison X: -1266 Y: 744: On a table in the south-eastern room","https://bg3.wiki/wiki/Clothing"
"Uncommon","Poisoner's Robe","None","1.8","250","Poison Trails; When the wearer casts a spell that deals Poison damage, it deals an additional 1d4 Poison damage.","Whispering Depths X: -569 Y: -359: Carried by the Phase Spider Matriarch in her lair","https://bg3.wiki/wiki/Clothing"
"Uncommon","Robe of Summer","None","1.8","250","Resistance to Cold damage.","Hidden Vault X: 183 Y: -82: inside a crate in the Hidden Vault within the Druid Grove","https://bg3.wiki/wiki/Clothing"
"Rare","Cloth of Authority","None","1.8","800","Armour Class +1; Dauntless; You can't be Frightened or afflicted with other emotion-altering conditions.; Authority; You have Advantage on Intimidation checks and Insight checks.","Wyrm's Rock Fortress X: -26 Y: 211: worn by Enver Gortash","https://bg3.wiki/wiki/Clothing"
"Rare","Drunken Cloth","None","1.8","800","Snowy Liver; While Drunk you have Advantage on Constitution Saving Throws, and you gain Temporary Hit Points equal to your Constitution Modifier at the start of your turn.","Guildhall X: -19 Y: 765: Sold by Severn","https://bg3.wiki/wiki/Clothing"
"Rare","Enraging Heart Garb","None","1.8","800","Constitution +2 (up to 20); Ruintamer Heart; While Raging, the wearer generates 2 turns of Wrath.[See: Bugs]","Moonrise Towers X: -164 Y: -167: Sold by Lann Tarv on the main floor","https://bg3.wiki/wiki/Clothing"
"Rare","Garb of the Land and Sky","None","1.8","800","Armour Class +1; Mountainous Poise; While using Patient Defence, you also benefit from the effect of Blade Ward.; Breezeswift Speed; While using Step of the Wind, your next Attack roll has Advantage and deals an additional 1d8 Force damage.","Danthelon's Dancing Axe X: -10 Y: 143: Sold by Entharl Danthelon in Wyrm's Crossing","https://bg3.wiki/wiki/Clothing"
"Rare","Icebite Robe","None","1.8","800","Resistance to Cold damage.; Armour of Agathys; Cast as a level 3 spell ( Recharge: Long rest.)","Reithwin Graveyard X: -158 Y: 73: Inside a sarcophagus north of the iron gate","https://bg3.wiki/wiki/Clothing"
"Rare","Mutilated Carapace","None","1.8","800","Armour Class +1; Formless Slaughter; You gain a +1 to Attack and Damage rolls while shapeshifting or disguised.; Faceless Masquerade; You have Advantage on Deception Checks and Persuasion Checks.","Bhaal Temple X: 61 Y: 1004: Carried by Orin during the quest Get Orin's Netherstone","https://bg3.wiki/wiki/Clothing"
"Rare","Obsidian Laced Robe","None","1.8","800","Grants Resistance to Fire damage.; Flaming Revenge; On a successful Saving Throw against a foe's spell, deal 1d4 + proficiency bonus Fire damage to them.","Last Light Inn X: -31 Y: 130: Sold by Quartermaster Talli near the Last Light Inn waypoint","https://bg3.wiki/wiki/Clothing"
"Rare","Robe of Exquisite Focus","None","1.8","800","High Spellcasting; You gain a +1 bonus to Spell Save DC.","Moonrise Towers X: -128 Y: -193: Sold by Araj Oblodra on the main floor; Lower City X: -92 Y: -78: Sold by Araj Oblodra in Crimson Draughts if not acquired from her in Act Two","https://bg3.wiki/wiki/Clothing"
"Rare","Shelter of Athkatla","None","1.8","1000","Mirror Image; Cast as a level 2 spell ( Recharge: Long rest.); Spell Resistance; You have Advantage on Saving throws against spells.","Ramazith's Tower X: 4960 Y: 705: Worn by Lorroakan","https://bg3.wiki/wiki/Clothing"
"Rare","The Graceful Cloth","None","1.8","800","Cat's Grace; You gain Cat's Grace and increase your Dexterity by 2, to a maximum of 20.; Nimble As a Cat; You gain a +1 bonus to your Dexterity Saving Throws and also increase your Jump distance by 1.5 m / 5 ft.","Rosymorn Monastery Trail X: -43 Y: -129: Sold by Lady Esther, north-east of the Trielta Crags waypoint","https://bg3.wiki/wiki/Clothing"
"Rare","The Mighty Cloth","None","1.8","800","Bull Rush ( + ); Charge forward and possibly knock your foes back 3 m (10 ft). ( Recharge: Per turn.); Bull's Strength; You gain Bull's Strength and increase your Strength by 2, to a maximum of 20.; Unwavering Bull; You cannot be pushed against your will and you have an Advantage on Saving throws against being Restrained.","Last Light Inn X: -31 Y: 130: Sold by Quartermaster Talli near the Last Light Inn waypoint","https://bg3.wiki/wiki/Clothing"
