"item","rarity","enchantment","damage","damage_type","weight_kg","price_gp","shared_properties","shared_action","special","where_to_find","source_url"
"Rusty Heavy Crossbow","Common","","1d10","Piercing","8.1","6","Two-Handed; Range: 18 m (60 ft); Dippable","Piercing Shot","","Carried by Reconstituted Marksman; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Heavy_Crossbows"
"Watcher Crossbow","Common","","3d10","Piercing","50","65","Two-Handed; Range: 18 m (60 ft); Dippable","Piercing Shot","Not usable by humanoids.","Carried by Steel Watchers","https://bg3.wiki/wiki/Heavy_Crossbows"
"Heavy Crossbow","Common","","1d10","Piercing","8.1","65","Two-Handed; Range: 18 m (60 ft); Dippable","Piercing Shot","","","https://bg3.wiki/wiki/Heavy_Crossbows"
"Crossbow of Arcane Force","Uncommon","+1","1d10 + 1","Piercing","8.1","130","Two-Handed; Range: 18 m (60 ft); Dippable","Piercing Shot","Arcane Ammunition; Infuse your crossbow bolts with arcane energy. Your ranged weapon attacks deal an additional 1d4 Force damage. ( Recharge: Short rest.)","Crèche Y'llek X: 1396 Y: -839: Carried by Raider G'r'ath in the camp area south of the Crèche Y'llek waypoint","https://bg3.wiki/wiki/Heavy_Crossbows"
"Gandrel's Aspiration","Uncommon","+1","1d10 + 1","Piercing","8.1","130","Two-Handed; Range: 18 m (60 ft); Dippable","Piercing Shot","Feller of Monsters; You have Advantage against Monstrosity type enemies.; Sacred Munitions; Infuse your crossbow bolts with holy energy. For the rest of your turn, your ranged weapon attacks inflict Turned against undead. ( Recharge: Short rest.)","Sunlit Wetlands X: -26 Y: 238: Carried by Gandrel in Act One","https://bg3.wiki/wiki/Heavy_Crossbows"
"Githyanki Crossbow","Uncommon","+1","1d10 + 1","Piercing","8.1","85","Two-Handed; Range: 18 m (60 ft); Dippable","Piercing Shot","","Mountain Pass: Carried by Raider Chost, Raider Zastri and Kith'rak Voss of the githyanki patrol","https://bg3.wiki/wiki/Heavy_Crossbows"
"Heavy Crossbow +1","Uncommon","+1","1d10 + 1","Piercing","8.1","85","Two-Handed; Range: 18 m (60 ft); Dippable","Piercing Shot","","Shattered Sanctum X: 272 Y: -31: Sold by Roah Moonglow, to the left beyond the sanctum entrance; Ebonlake Grotto X: -55 Y: -93: Sold by Derryth Bonecloak in the Underdark; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Heavy_Crossbows"
"Giantbreaker","Rare","+1","1d10 + 1","Piercing","8.1","380","Two-Handed; Range: 18 m (60 ft); Dippable","Piercing Shot","Heavy Hitter; Your weapon hits hard enough to send your target Reeling for 2 turns.","Zhentarim Basement X: 295 Y: -250: Sold by Brem after completing the quest Find the Missing Shipment","https://bg3.wiki/wiki/Heavy_Crossbows"
"Harold","Rare","+1","1d10 + 1","Piercing","8.1","380","Two-Handed; Range: 18 m (60 ft); Dippable","Piercing Shot","Haroldish Doom; When dealing damage to a target with a ranged weapon, the target must succeed a Charisma Saving throw or be Baned for 2 turns.","Zhentarim Hideout X: 277 Y: -247: Reward for bringing the chest to Zarys as part of Find the Missing Shipment","https://bg3.wiki/wiki/Heavy_Crossbows"
"The Long Arm of the Gur","Rare","+2","1d10 + 2","Piercing","8.1","380","Two-Handed; Range: 18 m (60 ft); Dippable","Piercing Shot","Revenant Scourge; When used against undead creatures this weapon has +1d4 bonus to Attack and Damage rolls.","The Counting House X: -718 Y: 861: In the High Security Vault nº3","https://bg3.wiki/wiki/Heavy_Crossbows"
"Fabricated Arbalest","Very Rare","+2","1d10 + 2","Piercing","8.1","960","Two-Handed; Range: 18 m (60 ft); Dippable","Piercing Shot","Dazzling Ray; Unleash a beam of brilliant light that Blinds all creatures in its path. ( Recharge: Short rest.); Illuminating Shot; Fire a shimmering bolt that inflicts 1 turn of Radiating Orb upon the target.","Wyrm's Rock Fortress X: -26 Y: 211: Carried by Enver Gortash","https://bg3.wiki/wiki/Heavy_Crossbows"
"Hellfire Engine Crossbow","Very Rare","+2","1d10 + 2","Piercing","8.1","960","Two-Handed; Range: 18 m (60 ft); Dippable","Piercing Shot","Lightning Arrow; Cast as a level 4 spell ( Recharge: Long rest.); Reposition Malefactor; Pulls the creature 9 m / 30 ft closer to you.","Steel Watch Foundry: Created by combining the following components at the table located at X: -325 Y: -134 on the main floor in the Security Office: Watcher Crossbow Blueprint - found on a desk at X: -333 Y: -157 on the main floor of the Steel Watch Foundry; Targeting Module - found on a table at X: -307 Y: -157, next to the plaque labeled ""Watcher Targeting Module"" on the main floor of the Steel Watch Foundry; Steel Watcher Arm - found on a table at X: -280 Y: -165, next to the plaque labeled ""Steel Watcher Arm Unit"" on the main floor of the Steel Watch Foundry","https://bg3.wiki/wiki/Heavy_Crossbows"
