"rarity","item","armour_type","proficiency","weight_kg","price_gp","special","where_to_find","source_url"
"Common","Appreciably-Cared-For Boots","Non-Armour","None","0.55","15","","Oubliette X: 678 Y: -68: On a table / shelf in the Morgue; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Footwear"
"Common","Cleverly Cobbled Boots","Non-Armour","None","0.55","5","","","https://bg3.wiki/wiki/Footwear"
"Common","Curled-Toe Boots","Non-Armour","None","0.55","5","","Flymm's Cobblers X: -22 Y: -110: On a shelf in Flymm's Cobblers; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Footwear"
"Common","Drow Leather Boots","Non-Armour","None","0.55","15","","","https://bg3.wiki/wiki/Footwear"
"Common","Firm-Soled Boots","Non-Armour","None","0.55","15","","","https://bg3.wiki/wiki/Footwear"
"Common","Grovetender Boots","Non-Armour","None","0.55","15","","Starting boots for Druids","https://bg3.wiki/wiki/Footwear"
"Common","Hardily Constructed Boots","Non-Armour","None","0.55","5","","","https://bg3.wiki/wiki/Footwear"
"Common","Heavy Boots","Non-Armour","None","0.55","15","","","https://bg3.wiki/wiki/Footwear"
"Common","Humbly Cobbled Shoes","Non-Armour","None","0.55","5","","","https://bg3.wiki/wiki/Footwear"
"Common","Jaheira's Boots","Non-Armour","None","0.55","15","","Worn by Jaheira","https://bg3.wiki/wiki/Footwear"
"Common","Karlach's Boots","Non-Armour","None","0.55","5","","Worn by Karlach","https://bg3.wiki/wiki/Footwear"
"Common","Leather Boots (Barbarian)","Non-Armour","None","0.55","5","","Starting boots for Barbarians","https://bg3.wiki/wiki/Footwear"
"Common","Leather Boots","Non-Armour","None","0.55","15","","Starting boots for Bards, Clerics, Fighters, Paladins, Rangers and Rogues","https://bg3.wiki/wiki/Footwear"
