"item","rarity","enchantment","damage","damage_type","weight_kg","price_gp","shared_properties","shared_action","special","where_to_find","source_url"
"Flail of Myrkul","Common","","1d8","Bludgeoning","0.9","50","One-Handed; Melee: 1.5 m (5 ft); Dippable","Concussive Smash","","Carried by Ketheric Thorm, if he had been disarmed during his initial encounter; Carried by Ironfinger, Maghtew Budj, and Hairy Henry","https://bg3.wiki/wiki/Flails"
"Flail","Common","","1d8","Bludgeoning","0.9","50","One-Handed; Melee: 1.5 m (5 ft); Dippable","Concussive Smash","","","https://bg3.wiki/wiki/Flails"
"Flail","Common","","1d8","Bludgeoning","0.9","50","One-Handed; Melee: 1.5 m (5 ft); Dippable","Concussive Smash","","","https://bg3.wiki/wiki/Flails"
"Pactbound Flail","Common","","1d8","Bludgeoning","0.9","0","One-Handed; Melee: 1.5 m (5 ft); Dippable","Concussive Smash","","Summoned by a Hexblade with Pact of the Blade: Flail","https://bg3.wiki/wiki/Flails"
"Rusty Flail","Common","","1d8","Bludgeoning","0.9","5","One-Handed; Melee: 1.5 m (5 ft); Dippable","Concussive Smash","","","https://bg3.wiki/wiki/Flails"
"Flail +1","Uncommon","+1","1d8 + 1","Bludgeoning","0.9","65","One-Handed; Melee: 1.5 m (5 ft); Dippable","Concussive Smash","","Sold by any trader using the magic melee table; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Flails"
"Myrkulite Scourge","Uncommon","+1","1d8 + 1; 1d6","Bludgeoning; Necrotic","0.9","65","One-Handed; Melee: 1.5 m (5 ft); Dippable","Concussive Smash","","Moonrise Towers X: -162 Y: -203: Carried by Radija on the first floor; Moonrise Towers Rooftop X: -146 Y: -213: Carried by Susdera on the rooftop; Mind Flayer Colony X: 727 Y: 41: Carried by Kressa Bonedaughter in the barracks; Moonrise Towers Prison X: 597 Y: -655: Carried by Sarabayle after confronting Ketheric Thorm; Moonrise Towers Prison X: 596 Y: -651: Carried by Willinx Jindlebee after confronting Ketheric Thorm; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Flails"
"Corrosive Flail","Rare","+1","1d8 + 1","Bludgeoning","0.9","310","One-Handed; Melee: 1.5 m (5 ft); Dippable","Concussive Smash","Corrosive Strike; Deal additional Acid damage equal to your Proficiency Bonus. On a hit, create a pool of acid around the target which reduces Armour Class by 2. ( Recharge: Short rest.)","Ebonlake Grotto X: -55 Y: -93: Sold by Derryth Bonecloak in the Underdark","https://bg3.wiki/wiki/Flails"
"Defender Flail","Rare","+1","1d8 + 1","Bludgeoning","0.9","310","One-Handed; Melee: 1.5 m (5 ft); Dippable","Concussive Smash","Steel Physiology; Reduce incoming Bludgeoning, Piercing, and Slashing damage by 1.; Armour Class +1","Crèche Y'llek X: 1380 Y: -798: Sold by A'jak'nir Jeera","https://bg3.wiki/wiki/Flails"
"Flail +2","Rare","+2","1d8 + 2","Bludgeoning","0.9","155","One-Handed; Melee: 1.5 m (5 ft); Dippable","Concussive Smash","","* Carried by the Blasphemous Acolyte in the final fight Atop the Netherbrain if a cleric is in the party; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Flails"
"Flail of Ages","Rare","+1","1d8 + 1","Bludgeoning","0.9","320","One-Handed; Melee: 1.5 m (5 ft); Dippable","Concussive Smash","Elements of an Epoch; Depending on what kind of damage this weapon does, it also inflicts: Acid condition, Chilled condition, or Burning condition.; Elemental Age; Cast as a level 3 spell ( Recharge: Long rest.)","Stormshore Armoury X: -36 Y: -83: Sold by Fytz the Firecracker, near the Lower City Central Wall waypoint","https://bg3.wiki/wiki/Flails"
